Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
डॉक्टर,டॉக்டர,மருத்துவர்,ḍaॉkṭara,Doctor
जिराफ़,ஜிராஃப,ஜிராப்,jirāfa,Giraffe
कोई,கோஈ,யார்,koī,Someone
मित्र,மித்ர,நண்பர்,mitra,Friend
खेलने,கேலநே,விளையாட,khelane,Playing
नहीं,நஹீம்,இல்லை,nahīṃ,No
आए,ஆஏ,வந்தார்,āe,Come
तो,தோ,என்றால்,to,Then
क्या,க்யா,என்ன,kyā,What
करते,கரதே,செய்கின்றன,karate,Do
हैं,ஹைம்,செய்யும்,haiṃ,Are
करेंगे,கரேம்கே,?,kareṃge,Will do
?,?,பழங்கள்-காய்கள்,?,?
फल-सब्जियाँ,பல-ஸப்ஜியாँ,சாப்பிடு,phala-sabjiyā~,Fruits and vegetables
खाना,காநா,ஏன்,khānā,Eat
क्यों,க்யோம்,முக்கியம்,kyoṃ,Why
ज़रूरी,ஃஜரூரீ,,zarūrī,Necessary
