Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
धमशाल,தமஶால,தமஷல்,dhamaśāla,Dhamashal
जा,ஜா,போ,jā,Go
आश्रमा,ஆஶ்ரமா,ஆசிரம,āśramā,Ashrama
",",",",அருவடிக்கு,",",","
गृहा,க்ரு'ஹா,வீடு,gṛhā,Home
छोड़,சோஃட²,வெளியேறு,chor̤a,Quit
कर,கர,வரி,kara,Tax
तान,தாந,டான்,tāna,Tan
|,|,அருவடிக்கு,|,","
स्थिर,ஸ்திர,நிலையான,sthira,steady
आश्रयदाता,ஆஶ்ரயதாதா,தங்குமிடம்,āśrayadātā,Shelter
रहा॰,ரஹா॰,தங்கியிருந்தார்,rahā॰,Stayed
उनको,உநகோ,அவர்களுக்கு,unako,For them
गही,கஹீ,கஹி,gahī,Gahi
अदीन,அதீந,அடின்,adīna,Adin
१,௧,1,1,1
