"id","title","description","youtube_url","thumbnail_image","created_at","updated_at","is_active","category_id"
"1","Vibe Coding in Tamil | KAPI AI Tool – Coding Revolution Explained! | SomethingTalk1","<p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">🚀 Vibe Coding - Coding-இன் அடுத்த கட்டம்! KAPI: The Game Changer Tool 💻</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">இந்த வீடியோவில் நாம software development-இல் ஒரு புதிய மாற்றத்தைப் பற்றி பேசப்போறோம் – அதுதான் Vibe Coding!</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">இதை அடுத்த Level-க்கு கொண்டுபோறது தான் KAPI, Balaji Viswanathan's dream project!</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">🎯 KAPI மூலம், நாம voice-ல பேசுறதிலிருந்து 3D architecture diagrams, documentation, test cases, மற்றும் code வரைக்கும் எல்லாமே ஒரு flow-ஆ கிடைக்குது.</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">📌 இந்த வீடியோவில் என்ன பார்க்கலாம்?</span></p><blockquote><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">Vibe Coding என்றால் என்ன?</span></p></blockquote><blockquote><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">ஏன் இது முக்கியம்?</span></p></blockquote><blockquote><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">Tools for better Vibe Coding KAPI என்ன செய்யுது?</span></p></blockquote><blockquote><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">எப்படி இது future coders-க்கு game changer ஆகும்?</span></p></blockquote><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">💡 நீங்கள் ஒரு developer-ஆ இருந்தாலும், beginner-ஆ இருந்தாலும், இது உங்கள் development mindset-ஐ மாற்றி விடும்!</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">📢 உங்கள் கருத்துகளை கீழே comment-ல் பகிரவும்!</span></p><p><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">For more information on KAPI -Vibe coding : </span><a href=""https://www.linkedin.com/posts/balajivi_kapi-ai-demo-completely-rethinking-ides-activity-7336615263473160192-gn6t?utm_source=share&amp;utm_medium=member_desktop&amp;rcm=ACoAAAM2AlUB-e72-_ZhLwHg8ckws7kMQvkkDFs""><span style=""background-color:rgba(0,0,0,0.05);color:rgb(19,19,19);"">https://www.linkedin.com/posts/balajivi_kapi-ai-demo-completely-rethinking-ides-activity-7336615263473160192-gn6t?utm_source=share&amp;utm_medium=member_desktop&amp;rcm=ACoAAAM2AlUB-e72-_ZhLwHg8ckws7kMQvkkDFs</span></a></p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PwuXx1L0EoM?si=MwqWLchcOE9t6Ch0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","video_thumbnails/online-blog.jpg","2025-07-04 18:59:34.632779+05:30","2025-11-03 12:32:26.463804+05:30",True,"1"
"4","Top 5 AI Tools You Must Know in 2025 | Tamil AI Tools Guide | ChatGPT, Midjourney, LangChain","<p><span style=""background-color:rgb(255,255,255);color:rgb(13,13,13);"">📌 Video Title: Top 5 AI Tools You Must Know in 2025 | Tamil AI Tools Guide 🎥 Channel: somethingtalk1 💬 In this Tamil video, we explore the Top 5 most powerful and useful AI tools for 2025! From ChatGPT and Midjourney to LangChain and Tamil Voice AI – indha tools unga study, content creation, and software development-la romba helpful-a irukkum. ✅ Tools Covered: 1️⃣ ChatGPT (Text, Q&amp;A, Coding) 2️⃣ Midjourney / DALL·E (AI Art Generator) 3️⃣ Notion AI (Smart Notes &amp; Summarizing) 4️⃣ ElevenLabs / Murf.ai (AI Voice in Tamil!) 5️⃣ LangChain + Vector DB (Build Your Own Tamil AI Chatbot) 💡 Learn how to use these tools effectively – all explained in Tamil! 💻 Perfect for Students, Creators, Developers, and AI Enthusiasts. 🔔 Subscribe for more AI in Tamil videos: https://www.youtube.com/@somethingtalk1 📩 Share your feedback in the comments!</span></p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/0A7d6Kfxjhg?si=uYkQhmo1ZtVaskNX"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 12:58:43.454967+05:30","2025-11-03 12:11:26.601544+05:30",True,"1"
"5","Top  AI Terms Explained in Tamil | Artificial Intelligence Basics தமிழில்","<p><span style=""background-color:rgb(255,255,255);color:rgb(13,13,13);"">இந்த வீடியோவில், நாம் இன்று எல்லோரும் தெரிந்திருக்க வேண்டிய முக்கியமான 10 Artificial Intelligence (AI) சொற்கள் பற்றி தமிழில் விளக்கமாக பார்க்கப்போகிறோம். AI, Machine Learning, NLP, LLMs, Generative AI, Bias, Ethics போன்ற முக்கியமான terms இந்த வீடியோவில் உள்ளன. இந்த வீடியோ AI ஆரம்ப நிலை பயில்வோருக்கும், Data Science/Tech Students-க்கும் மிகவும் பயனுள்ளதாக இருக்கும். 👉 Covered Topics: What is AI? Machine Learning Natural Language Processing Neural Networks Generative AI Hallucination in AI Large Language Models Prompt Engineering Bias in AI Ethics in AI 🎓 இந்த வீடியோவைப் பார்த்து உங்கள் AI கற்றல் பயணத்தை தொடங்குங்கள் – தமிழில்! 👍 வீடியோ பிடித்திருந்தால் Like பண்ணுங்க, Share பண்ணுங்க, Subscribe பண்ண மறந்துறாதீங்க! #AIinTamil #ArtificialIntelligence #TamilTech #MachineLearningTamil</span></p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Ys5C2Ghyk4c?si=Ur-6uvOjGCWZPk8t"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","video_thumbnails/AIterms.png","2025-07-05 13:19:07.468665+05:30","2025-11-03 12:11:57.825127+05:30",True,"1"
"6","Cursor Vibe Coding Tool | Explained in Tamil","<p>இந்த வீடியோவில், Vibe Coding கான்ஸெப்டில் அடுத்த படியாக வரும் Cursor என்னும் AI Code Editor பற்றி தமிழில் முழுமையாக அறிந்து கொள்ளலாம்! 💻✨<br>👉 Installation எப்படி?<br>👉 Copilot போன்ற features எப்படி வேலை செய்கிறது?<br>👉 AI எப்படி உங்கள் productivity-ஐ boost பண்ணுது?<br>இவை அனைத்தும் இந்த வீடியோவில் காணலாம்!<br>🔔 Subscribe பண்ணுங்க – AI &amp; Coding-இல் வரும் புதிய trend-களை தமிழில் தெரிஞ்சுக்க!</p><p>🎬 Chapters:<br>0:00 – Intro to Vibe Coding<br>0:30 – What is Cursor?<br>1:30 – Installation Steps<br>3:00 – Features Demo<br>5:00 – Final Thoughts &amp; Tips</p><p>✅ More on AI Tools in Tamil:<br>&nbsp; &nbsp;/&nbsp;@somethingtalk125 &nbsp;</p><p>💬 உங்கள் கருத்துக்களை கீழே comment பண்ணுங்க! நீங்கள் Cursor பயன்படுத்தினீர்களா?</p><p>Cursor Tamil &nbsp;<br>Vibe Coding Tool &nbsp;<br>AI Code Editor Tamil &nbsp;<br>GitHub Copilot Alternative &nbsp;<br>AI IDE 2025 &nbsp;<br>Cursor Editor Tutorial Tamil &nbsp;<br>Vibe Coding Tamil &nbsp;<br>AI coding tools in Tamil &nbsp;<br>Cursor installation Tamil &nbsp;<br>Best AI code editor &nbsp;<br>SomethingTalk1 &nbsp;<br>AI Tools for Programmers &nbsp;<br>Tamil programming channel</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/57FMVS8ctu4?si=4eKUI2VtkNwhj17P"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:14:45.273513+05:30","2025-11-03 12:13:06.702963+05:30",True,"1"
"7","KAPI AI tool - Vibe coding revolution in tamil","<p>🚀 Vibe Coding - Coding-இன் அடுத்த கட்டம்! KAPI: The Game Changer Tool 💻</p><p>இந்த வீடியோவில் நாம software development-இல் ஒரு புதிய மாற்றத்தைப் பற்றி பேசப்போறோம் – அதுதான் Vibe Coding!<br>இதை அடுத்த Level-க்கு கொண்டுபோறது தான் KAPI, Balaji Viswanathan's dream project!</p><p>🎯 KAPI மூலம், நாம voice-ல பேசுறதிலிருந்து 3D architecture diagrams, documentation, test cases, மற்றும் code வரைக்கும் எல்லாமே ஒரு flow-ஆ கிடைக்குது.</p><p>📌 இந்த வீடியோவில் என்ன பார்க்கலாம்?</p><p>Vibe Coding என்றால் என்ன?</p><p>ஏன் இது முக்கியம்?</p><p>Tools for better Vibe Coding</p><p>KAPI என்ன செய்யுது?</p><p>எப்படி இது future coders-க்கு game changer ஆகும்?</p><p>💡 நீங்கள் ஒரு developer-ஆ இருந்தாலும், beginner-ஆ இருந்தாலும், இது உங்கள் development mindset-ஐ மாற்றி விடும்!</p><p>📢 உங்கள் கருத்துகளை கீழே comment-ல் பகிரவும்!<br>For more information on KAPI -Vibe coding : https://www.linkedin.c...<br>👉 Subscribe for more Tamil tech &amp; AI content: &nbsp; &nbsp;&nbsp;/&nbsp;@somethingtalk125 &nbsp;</p><p>KAPI blog link :&nbsp;<br>https://www.kapihq.com...</p><p>🔔 Like | Share | Subscribe to SomethingTalk1</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/PwuXx1L0EoM?si=dOPMbtF9Z9yhdwMR"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:17:56.941008+05:30","2025-11-03 12:13:48.569777+05:30",True,"1"
"8","அனைவருக்கும் AI கருவிகள் | சிறந்த AI மென்பொருள் & செயலிகள் தமிழில் (2025)","<p>இந்த தமிழ் வீடியோவில், 2025 இல் அனைவரும் பயன்படுத்தக்கூடிய சிறந்த AI கருவிகளைப் பற்றிப் பார்ப்போம்!<br>மாணவர்கள், content creators, developers, மற்றும் சிறு வணிக உரிமையாளர்கள் வரை,<br>இந்த AI tools உங்கள் நேரத்தைச் சேமித்து உற்பத்தித்திறனை அதிகரிக்க உதவும்.</p><p>📌 இதில் பார்க்கப்படும் முக்கிய AI கருவிகள்:</p><p>🧠 ChatGPT, Notion AI – உள்ளடக்கம் உருவாக்க</p><p>🎨 DALL·E, Canva AI – படங்கள், வீடியோ உருவாக்க</p><p>🎤 ElevenLabs, Murf.ai – குரல் கருவிகள்</p><p>👨💻 GitHub Copilot, Tabnine – கோடிங் உதவி</p><p>🔍 Perplexity AI, You.com – தேடல் மற்றும் சுருக்கம்</p><p>இந்த வீடியோ உங்களுக்கு பயனுள்ளதாக இருந்தால், ஒரு 👍 லைக் போடுங்கள், நண்பர்களுடன் பகிருங்கள் மற்றும் எங்களைச் சப்ஸ்க்ரைப் செய்ய மறக்காதீர்கள்!</p><p>🔔 மேலும் AI வீடியோக்களுக்கு சப்ஸ்க்ரைப் செய்யுங்கள்: &nbsp; &nbsp;&nbsp;/&nbsp;@somethingtalk1 &nbsp;</p><p>💬 உங்களுக்குப் பிடித்த AI கருவி எது? கீழே கமெண்ட் செய்யுங்கள்!</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4m3oIYlKf7E?si=aMR5YkIsqvRNAFtV"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:22:12.167555+05:30","2025-11-03 12:14:35.628198+05:30",True,"1"
"9","Chatgpt memory explained in tamil","<p>🚀 Vanakkam tech friends!<br>இந்த வீடியோவில் நாம் LangChain Memory பற்றி தமிழில் விரிவாகக் காணப்போகிறோம் – chatbot-க்கு எப்படி நினைவுகள் சேர்க்கப்படுகின்றன, எதற்கு memory தேவை, எப்போது எந்த memory-யை பயன்படுத்த வேண்டும் என்பதையும் live code example-ஓடு காணலாம்!</p><p>📌 Topics Covered:</p><p>Chatbot without memory – Problem explained</p><p>Why memory is critical</p><p>ConversationBufferMemory &amp; SummaryMemory</p><p>Full Python code demo</p><p>When to use which memory type</p><p>🧠 LangChain Memory-யை புரிந்து chatbot development-ல் next-level குதிக்கலாம்!</p><p>&nbsp;</p><p>👍 வீடியோ பிடிச்சிருந்தா Like பண்ணுங்க<br>📢 Tech friends-க்கு share பண்ணுங்க<br>✅ Subscribe பண்ணிட்டு புதிய AI &amp; Python வீடியோக்கள் தமிழில் தவறாம பாருங்க!</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fYNVtLfBU0U?si=M0W9_9aYg_ZAP55V"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:23:49.457598+05:30","2025-11-03 12:15:33.228722+05:30",True,"1"
"10","Lagchain and RAG explained in Tamil - AI tool","<p>வணக்கம்!<br>இந்த வீடியோவில் நாம் பார்க்கப்போவது LangChain மற்றும் RAG என்ற AI concepts பற்றி முழுமையான விளக்கம் — தமிழில்!</p><p>✅ LangChain என்றால் என்ன?<br>✅ Retrieval Augmented Generation (RAG) எப்படி வேலை செய்கிறது?<br>✅ GPT மாதிரி Language Model-ஐ எப்படி Smart Assistant ஆக மாற்றலாம்?<br>✅ Real-world example-களுடன் விளக்கம்!</p><p>📌 இந்த வீடியோ AI Developer-களுக்கும், Tech ஆர்வலர்களுக்கும் மிகவும் பயனுள்ளதாக இருக்கும்.</p><p>👉 மேலும் AI வீடியோக்கள் பெற இந்த சேனலுக்கு Subscribe செய்யவும்!<br>🔔 Bell icon-ஐ கிளிக் செய்ய மறக்காதீர்கள்!</p><p>#LangChain #RAG #AIinTamil #ChatGPT #SmartAI #LangChainTamil #GPTTamil #SomethingTalk1 #TamilTech<br>&nbsp;</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/iDifCiqUbo8?si=Mpy3HqFnmUZe3TaH"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:25:27.049063+05:30","2025-11-03 12:25:37.904732+05:30",True,"1"
"11","AI agent explained in tamil","<p>🤖 இந்த வீடியோவில், AI Agent என்றால் என்ன? ஏன் அது முக்கியம்? எப்படி அது ChatGPT, Siri, AutoGPT போன்ற தொழில்நுட்பங்களில் வேலை செய்கிறது என்பதை தமிழில் விரிவாக தெரிந்து கொள்வோம்!<br>-------------------------------------------------------<br>Python Code sample:<br>class SimpleAgent:<br>&nbsp; &nbsp;def __init__(self,goal):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;self.goal = goal<br>&nbsp;&nbsp;<br>&nbsp; def observe(self,environment):<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;print(""Observing environment:"",environment)<br>&nbsp;&nbsp;<br>&nbsp;def decide(self):<br>&nbsp; &nbsp; &nbsp; &nbsp;print(""Thinking about goal:"",self.goal)<br>&nbsp; &nbsp; &nbsp; &nbsp;return ""Plan generated for goal:""+ self.goal</p><p>def act(self):<br>&nbsp; &nbsp; &nbsp; action = self.decide()<br>&nbsp; &nbsp; &nbsp; print(""Action taken:"",action)</p><p>agent = SimpleAgent(""Travel plan creation"")<br>agent.observe(""Requirments of travel"")<br>agent.act()</p><p>இந்த வீடியோ 'AI in Tamil' தொடரின் ஒரு முக்கிய அத்தியாயம்.</p><p>✅ என்ன தெரிந்து கொள்ளலாம்:<br>&nbsp;</p><p>Agent என்றால் என்ன?<br>&nbsp;</p><p>AI Agent எப்படி வேறுபடுகிறது?<br>&nbsp;</p><p>Examples: Siri, ChatGPT, AutoGPT<br>&nbsp;</p><p>Python Coding Example<br>&nbsp;</p><p>--------------------------------------------------------------------------------<br>Types of AI Agent:<br>Reactive nAgent<br>Planning Agent<br>Learning Agent<br>--------------------------------------------------------------------------------<br>📌 அடுத்த வீடியோவில் நாம் “LangChain Agents” பற்றி காணப்போறோம்!</p><p>🔔 Subscribe பண்ணுங்க 👉somethingtalk1<br>👍 Like &amp; Share பண்ணுங்க Tamil AI ஆர்வலர்களுடன்!</p><p>#AITamil #AIinTamil #LangChainTamil #AgentTamil #OpenAITamil #AutoGPT #AIExplainedTamil</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/HKygx72z76E?si=pbjl-q4JF7yge5Yd"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:35:26.621918+05:30","2025-11-03 11:50:32.121107+05:30",True,"1"
"12","Computer vision explained in tamil","<p>இந்த வீடியோவில், ""Computer Vision"" என்பது என்ன, அது எவ்வாறு வேலை செய்கிறது, எங்கு பயன்படுத்தப்படுகிறது மற்றும் எதிர்கால வேலை வாய்ப்புகள் பற்றி தெளிவாக தமிழ் வழியில் விளக்கம் தரப்படுகிறது.</p><p>📌 இது உங்கள் AI பயணத்தில் முக்கியமான ஒரு பகுதியில் உதவும்!<br>✅ Beginners &amp; Students க்கும் Perfect!</p><p>🎓 Covered Topics:</p><p>Computer Vision என்றால் என்ன?</p><p>அது எங்கு பயன்படுகிறது?</p><p>எப்படி வேலை செய்கிறது?</p><p>Industry Examples</p><p>Future Scope &amp; Jobs</p><p>📺 Watch the full video and share your feedback in the comments!</p><p>#ComputerVision #AITamil #TamilTech #ArtificialIntelligence #somethingtalk1 #AIExplainedTamil</p>","<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/EJ-s26tzoDw?si=b9ib2Tdcuk7Twqyv"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe>","","2025-07-05 17:37:34.436392+05:30","2025-11-03 12:26:32.059385+05:30",True,"1"
