Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
3,3,மூன்று,3,3
|ండషధం5+,|ம்டஷதம்5+,|,|ṃḍaṣadhaṃ5+,|ండషధం5+
8000/ుం9_న/,8000/ும்9_ந/,8000/ు9_ na/,8000/uṃ9_na/,8000/ు9_na/
[,[,[[,[,[
+,+,+,+,+
?,?,?,?,?
(ంఇ,(ம்இ,(.......,(ṃi,(ంఇ
7షడ*ళథ,7ஷட*ளத,7 நிழல்*லதா,7ṣaḍa*ḻatha,7 Shadow*Latha
[ం91న,[ம்91ந,[91 இல்,[ṃ91na,[ం91న
1ం,1ம்,1,1ṃ,1ం
ఠం)జ,டம்)ஜ,தாம்),ṭhaṃ)ja,Tham)
నడడపౣ*,நடடப்லூ'*,நடைபயிற்சி*,naḍaḍapḹ*,Walking*
డ+*థ,ட+*த,D+*வது,ḍa+*tha,D+*th
ంబౣఘ,ம்ப்லூ'க,மும்பா,ṃbḹgha,ంబౣఘ
ం5*థీ3*,ம்5*தீ3*,ం 5*thi 3*,ṃ5*thī3*,ం 5*Thi 3*
&,&,&,&,&
)ః55ళపఎ,)ஃ55ளபஎ,) ః 55 எல்பிஏ,)ḥ55ḻapaè,)ః55ళపఎ
10,10,.,10,10
|0ౣ19,|0்லூ'19,| 0 ౣ 19,|0ḹ19,|0ౣ19
ర5జ/0*,ர5ஜ/0*,R 5 d/0*,ra5ja/0*,R 5 d/0*
యశ55ణపథఞ,யஶ55ணபதஞ,யாஷா 55,yaśa55ṇapathaña,Yasha 55
?*0*0)*థ,?*0*0)*த,?*0*0)*வது,?*0*0)*tha,?*0*0)*th
ఖ*,க*,கா*,kha*,Ka*
[ం9,[ம்9,[எம் 9,[ṃ9,[ం9
[0,[0,[,[0,[0
^ఃఎ2,^ஃஎ2,^ః 2,^ḥè2,^ఃఎ2
ఞడడపౣీ?,ஞடடப்லூ'ீ?,என்ன?,ñaḍaḍapḹī?,What?
~థడ3+డ,~தட3+ட,~ தாடா 3+ டா,~thaḍa3+ḍa,~ Thada 3+ da
ః^,ஃ^,ః^,ḥ^,ః^
ఞడడ0ఘ+,ஞடட0க+,G+ ஐ நினைவில் கொள்ளுங்கள்,ñaḍaḍa0gha+,Remember G+
