Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
@06చ,@06ച,@ 06 ch,@06ca,@06 ch
06ోఈో6%6,06ോഈോ6%6,06 OO 6% 6,06oīo6%6,06 Oo 6%6
@0ఘృ',@0ഘൃ',@ 0 ghru ',@0ghṛ',@0 Ghru '
77ైఅ5టఈణటరం_,77ൈഅ5ടഈണടരം_,77 ഇഎഎ 5 തെലാഘാം_,77aia5ṭaīṇaṭaraṃ_,77 ia 5 tennataram_
6సడ,6സഡ,6 വിശ്രമിച്ചു,6saḍa,6 relaxed
2_6ం@_ర606,2_6ം@_ര606,2_6M @ _ര 606,2_6ṃ@_ra606,2_6m@_ra 606
2_611,2_611,2_611,2_611,౨_౬౧౧
__,__,__,__,__
605,605,605,605,౬౦౫
ఃః*<6,ഃഃ*<6,ః * <6,ḥḥ*<6,ః*<6
@1#606ఉ6,@1#606ഉ6,@ 1 # 606 u 6,@1#606u6,@1#606 U 6
66చ6,66ച6,66 ch 6,66ca6,66 ch 6
ౌ6లఓఈఈడ_డ_,ൌ6ലഓഈഈഡ_ഡ_,ഓ 6 ലൂയിഡ്_ഡ_ഡേ,au6laoīīḍa_ḍa_,Ou 6 LOEEED_DA_DAY
@సైఘ6,@സൈഘ6,@Saiga 6,@saigha6,@Saiga 6
@56,@56,@ 56,@56,@౫౬
855,855,855,855,౮౫౫
;డగఆ:,;ഡഗആ:,; ഡാഗ:,;ḍagaā:,; Dagaa:
రిరి,രിരി,റിരി,riri,Riri
