Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
வாய்மையே,വായ്മൈയേ,വാചികമായ,vāymaiye,Oral
வெல்லும்,വെല്ലും,വിജയിക്കും,vèlluṃ,Will win
தமிழ்நாடு,ധമിഴ്നാഢു,തമിഴ്നാട്,dhamil̤nāḍhu,Tamil Nadu
அரசு,അരഝു,സര്ക്കാര്,arajhu,Government
முதல்,മുധല്,ഒന്നാമതായ,mudhal,First
வகுப்பு,വഘുഭ്ഭു,പകുക്കുക,vaghubhbhu,Class
முதல்,മുധല്,ഒന്നാമതായ,mudhal,First
பருவம்,ഭരുവം,കാലം,bharuvaṃ,Season
தொகுதி,ധൊഘുധി,വാലം,dhòghudhi,Volume
1,1,1,1,௧
தமிழ்,ധമിഴ്,തമിഴ്,dhamil̤,Tamil
ENGLISH,ENGLISH,ഇംഗ്ലീഷ്,ENGLISH,English
தமிழ்நாடு,ധമിഴ്നാഢു,തമിഴ്നാട്,dhamil̤nāḍhu,Tamil Nadu
அரசு,അരഝു,സര്ക്കാര്,arajhu,Government
விலையில்லாப்,വിലൈയില്ലാഭ്,കാണാതാകുക,vilaiyillābh,Missing
பாடநூல்,ഭാഢനൂല്,പാഠപുസ്തകം,bhāḍhanūl,Textbook
வழங்கும்,വഴങ്ഘും,വാഗ്ദാനം,val̤aṅghuṃ,Offer
திட்டத்தின்கீழ்,ധിഢ്ഢധ്ധിன്ഘീഴ്,കീഴ്വഴക്കമുള്ള,dhiḍhḍhadhdhiṉghīl̤,Submissive
வெளியிடப்பட்டது,വെളിയിഢഭ്ഭഢ്ഢധു,മോചിപ്പിക്കുക,vèḻiyiḍhabhbhaḍhḍhadhu,Released
பள்ளிக்,ഭള്ളിഘ്,വിദാലയം,bhaḻḻigh,School
கல்வித்துறை,ഘല്വിധ്ധുറൈ,വിദ്യാഭ്യാസ മേഖല,ghalvidhdhuṟai,Field of education
தீண்டாமை,ധീണ്ഢാമൈ,തൊട്ടുകൂടായ്മ,dhīṇḍhāmai,Untouchability
மனித,മனിധ,മനുഷന്,maṉidha,Human
நேயமற்ற,നേയമറ്റ,നികില്ലാത്ത,neyamaṟṟa,Unintended
செயலும்,ഝെയലും,പമാണം,jhèyaluṃ,Deed
பெருங்குற்றமும்,ഭെരുങ്ഘുറ്റമും,സൗന്ദര്ശേഖരം,bhèruṅghuṟṟamuṃ,Aesthetic
ஆகும்,ആഘും,അതാണു,āghuṃ,Is that
தமிழ்நாடு,ധമിഴ്നാഢു,തമിഴ്നാട്,dhamil̤nāḍhu,Tamil Nadu
அரசு,അരഝു,സര്ക്കാര്,arajhu,Government
முதல்பதிப்பு,മുധല്ഭധിഭ്ഭു,മുന്വിധി,mudhalbhadhibhbhu,Prejudice
2018,2018,2018,2018,௨௦௧௮
திருத்திய,ധിരുധ്ധിയ,പുതുക്കി,dhirudhdhiya,Revised
பதிப்பு,ഭധിഭ്ഭു,പതിപ്പ്,bhadhibhbhu,Edition
-,-,-,-,-
