Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
IV.,IV.,IV.,IV.,IV.
श्रुतलेख,ஶ்ருதலேக,நான்கு,śrutalekha,Manuscript
1.,1.,श्रुतलेख,1.,1.
डिब्बा,டிப்பா,கையெழுத்து,ḍibbā,Box
2.,2.,1.,2.,2.
कुत्ता,குத்தா,ஒட்டகம்,kuttā,Dog
3.,3.,2.,3.,3.
चप्पल,சப்பல,நாய்,cappala,Slipper
4.,4.,3.,4.,4.
गुब्बारा,குப்பாரா,சப்பால்,gubbārā,Balloon
5.,5.,4.,5.,5.
गोलीगप्पा,கோலீகப்பா,பூம்புல்,golīgappā,Pani Puri
6.,6.,5.,6.,6.
वाक्य,வாக்ய,பாண்டி,vākya,Sentence
7.,7.,6.,7.,7.
गुच्छा,குச்சா,வாக்கியம்,gucchā,Bunch
8.,8.,7.,8.,8.
मच्छर,மச்சர,குச்சி,macchara,Mosquito
9.,9.,8.,9.,9.
पुस्तक,புஸ்தக,ஈ,pustaka,Book
10.,10.,9.,10.,10.
नमस्ते,நமஸ்தே,புத்தகம்,namaste,Hello
