Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
जैसा,ஜைஸா,என,jaisā,As
कि,கி,அது,ki,That
बात,பாத,பேச்சு,bāta,talk
की,கீ,of,kī,of
के,கே,Of,ke,Of
लेखन,லேகந,எழுதுதல்,lekhana,Writing
की,கீ,of,kī,of
कला,கலா,கலை,kalā,Art
किसी,கிஸீ,ஏதேனும்,kisī,Any
भी,பீ,கூட,bhī,Too
भाषा,பாஷா,மொழி,bhāṣā,Language
में,மேம்,இல்,meṃ,In
हो,ஹோ,ஆம்,ho,yes
लेकिन,லேகிந,ஆனால்,lekina,But
शब्दों,ஶப்தோம்,வார்த்தைகள்,śabdoṃ,Words
का,கா,Of,kā,Of
इस्तमाल,இஸ்தமால,பயன்படுத்தவும்,istamāla,Use
सही,ஸஹீ,சரியானது,sahī,Correct
जगह,ஜகஹ,இடம்,jagaha,Place
पर,பர,ஆனால்,para,But
होना,ஹோநா,நடக்கும்,honā,Happen
आवश्यक,ஆவஶ்யக,அவசியம்,āvaśyaka,Necessary
है,ஹை,என்பது,hai,Is
जिसमें,ஜிஸமேம்,இதில்,jisameṃ,In which
और,ஔர,மற்றும்,aura,And
भी,பீ,கூட,bhī,Too
कई,கஈ,பல,kaī,Many
फैक्टर्स,பைக்டர்ஸ,காரணிகள்,phaikṭarsa,Factors
आ,ஆ,வாருங்கள்,ā,Come
जाते,ஜாதே,போ,jāte,Go
हैं॰,ஹைம்॰,அவை.,haiṃ॰,Are.
तो,தோ,எனவே,to,So
इस,இஸ,இது,isa,This
ब्लॉग,ப்லॉக,வலைப்பதிவு,blaॉga,Blog
में,மேம்,இல்,meṃ,In
मूलतः,மூலதஃ,முதலில்,mūlataḥ,Originally
हम,ஹம,நாங்கள்,hama,We
हिंदी,ஹிம்தீ,இந்தி,hiṃdī,Hindi
भाषी,பாஷீ,மொழியியல்,bhāṣī,Linguistic
लेखन,லேகந,எழுதுதல்,lekhana,Writing
की,கீ,of,kī,of
बात,பாத,பேச்சு,bāta,talk
करेंगे|,கரேம்கே|,செய்யும்,kareṃge|,Will do
अगर,அகர,என்றால்,agara,If
आप,ஆப,நீங்கள்,āpa,You
एक,ஏக,ஒன்று,eka,One
हिंदी,ஹிம்தீ,இந்தி,hiṃdī,Hindi
कंटेंट,கம்டேம்ட,உள்ளடக்கம்,kaṃṭeṃṭa,Content
राइटर,ராஇடர,எழுத்தாளர்,rāiṭara,Writer
बनना,பநநா,ஆக,bananā,to become
चाहतें,சாஹதேம்,ஆசை,cāhateṃ,Wish
है,ஹை,என்பது,hai,Is
तो,தோ,எனவே,to,So
ये,யே,இவை,ye,These
ब्लॉग,ப்லॉக,வலைப்பதிவு,blaॉga,Blog
आपके,ஆபகே,உங்கள்,āpake,Your
लिए,லிஏ,க்கு,lie,For
है॰,ஹை॰,என்பது.,hai॰,Is.
हमारा,ஹமாரா,எங்கள்,hamārā,Our
यह,யஹ,அது,yaha,it
ब्लॉग,ப்லॉக,வலைப்பதிவு,blaॉga,Blog
आपके,ஆபகே,உங்கள்,āpake,Your
सपनों,ஸபநோம்,கனவுகள்,sapanoṃ,Dreams
को,கோ,To,ko,To
पूरा,பூரா,முழுமையானது,pūrā,Complete
करने,கரநே,செய்,karane,Do
में,மேம்,இல்,meṃ,In
अवश्य,அவஶ்ய,நிச்சயமாக,avaśya,Sure
मददगार,மததகார,உதவியாக இருக்கும்,madadagāra,helpful
साबित,ஸாபித,நிரூபிக்கப்பட்டுள்ளது,sābita,Proven
होगा|,ஹோகா|,இருக்கும்,hogā|,Will be
हमने,ஹமநே,நாங்கள்,hamane,We
