Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
We,Wஏ,நாங்கள்,We,We
get,கேத்,பெற,get,obtain
eggs,ஏக்க்ஸ்,முட்டைகள்,eggs,eggs
from,ஃப்ரோம்,விரும்புகிறோம்,from,from
"duck,","துச்க்,",வாத்து,"duck,",duck
hen,ஹேந்,முட்டை,hen,hen
and,அந்த்,மற்றும்,and,and goose.
goose.,கூஸே।,வாத்து.,gūse|,They
They,டேய்,அவை,ṭhey,are
are,அரே,நமக்கு,are,very
very,வேர்ய்,மிகவும்,very,nutritious
healthy,ஹேஅல்த்ய்,ஆரோக்கியமானவை.,healthy,for
for,ஃபோர்,நாங்கள்,for,us.
us.,உஸ்।,அவைகளை,us|,We
We,Wஏ,ஓம்லெட்,We,utilize
use,உஸே,கேக்,use,them
them,தேம்,மற்றும்,them,to
to,தோ,பேஸ்ட்ரி,to,prepare
make,மகே,செய்ய,make,omelette
"omelette,","ஓமேலேத்தே,",பயன்படுத்துகிறோம்.,"omelette,",cake
cake,சகே,நாங்கள்,cake,and pastry.
and,அந்த்,மாம்சம்,and,We
pastry.,பஸ்த்ர்ய்।,பெற,pastry|,obtain
We,Wஏ,கோழி,We,meat
get,கேத்,மற்றும்,get,from
meat,மேஅத்,ஆட்டுக்காள்.,meat,chicken
from,ஃப்ரோம்,மாம்சம்,from,and goat.
chicken,சிச்கேந்,சாப்பிடுவதற்கான,cicken,The
and,அந்த்,மக்கள்,and,individuals
goat.,கோஅத்।,செய்யும்,goat|,who
The,டே,அல்லாதவர்கள்.,ṭhe,consume
people,பேஓப்லே,கடல்,people,meat
who,வ்ஹோ,உயிரியல்,vho,are
eat,ஏஅத்,போன்ற,eat,referred to as
meat,மேஅத்,கடல்,meat,non-vegetarians.
are,அரே,உணவுகளாக,are,Sea
called,சல்லேத்,உண்டு.,called,creatures
non-vegetarians.,நோந்-வேகேதரிஅந்ஸ்।,,non-vegetarians|,like
Sea,ஷேஅ,,ṣea,fish
animals,அநிமல்ஸ்,,animals,crab
like,லிகே,,like,and prawns
"fish,","ஃபிஶ்,",,"fiś,",are
crab,ச்ரப்,,crab,also
and,அந்த்,,and,consumed
prawns,ப்ரவ்ந்ஸ்,,pravns,as
are,அரே,,are,seafood.
also,அல்ஸோ,,also,
eaten,ஏஅதேந்,,eaten,
as,அஸ்,,as,
seafood.,ஸேஅஃபூத்।,,seafūd|,
