Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
పరమపవిత్రుడు,ಪರಮಪವಿತ್ರುಡು,ಪರಮಪವಿತ್ರುಡು,paramapavitruḍu,Most Holy
శ్రీ,ಶ್ರೀ,ಶ್ರೀ,śrī,Sri
పరమపదవిరుడు,ಪರಮಪದವಿರುಡು,ಪರಮಪದವಿರುಡು,paramapadaviruḍu,Supreme Lord
సమేతంగా,ಸಮೇತಂಗಾ,ಸಮೇತಂಗಾ,sametaṃgā,Together
సృక్ష్తిగా,ಸೃಕ್ಷ್ತಿಗಾ,ಸೃಕ್ಷ್ತಿಗಾ,sṛkṣtigā,Creatively
పత్రీమయునిగా,ಪತ್ರೀಮಯುನಿಗಾ,ಪತ್ರೀಮಯುನಿಗಾ,patrīmayunigā,In the form of a leaf
సృస్టి,ಸೃಸ್ಟಿ,ಸೃಸ್ಟಿ,sṛsṭi,Creation
కార్యక్రమాన్ని,ಕಾರ್ಯಕ್ರಮಾನ್ನಿ,ಕಾರ್ಯಕ್ರಮಗಳನ್ನು,kāryakramānni,Programs
నిర్వర్తిస్తూ,ನಿರ್ವರ್ತಿಸ್ತೂ,ನಿರ್ವಹಿಸುತ್ತೀ,nirvartistū,Implementing
శతిశ్రీలో,ಶತಿಶ್ರೀಲೋ,ಶತಿಶ್ರೀಲೋ,śatiśrīlo,In the garden
నివసిస్తూ,ನಿವಸಿಸ್ತೂ,ನಿವಸಿಸುತ್ತೀ,nivasistū,Residing
చేనేను.,ಚೇನೇನು.,ಚೇನೇನು,cenenu.,What.
మగనాడు,ಮಗನಾಡು,ಮగనಾಡು,maganāḍu,Son
స్వర్గలోక,ಸ್ವರ್ಗಲೋಕ,ಸ್ವರ್ಗಲೋಕ,svargaloka,Heaven
సృతిలో,ಸೃತಿಲೋ,ಸೃతిಲೋ,sṛtilo,Creation
అల్పన,ಅಲ್ಪನ,ಅಲ್ಪನ,alpana,Little
చతురుమ,ಚತುರುಮ,ಚತುರುಮ,caturuma,Four
చతుర్డశుడు,ಚತುರ್ಡಶುಡು,ಚತುರ್ದಶುಡು,caturḍaśuḍu,Fourteen
తత్వత్రి,ತತ್ವತ್ರಿ,ತತ್ವತ್ರಿ,tatvatri,Triad
నిచ్చించి,ನಿಚ್ಚಿಂಚಿ,ನಿಚ್ಚಿಂಚಿ,nicciṃci,Insert
క్సన,ಕ್ಸನ,ಕ್ಸನ,ksana,Xan
"యుంచీబ్రా,","ಯುಂಚೀಬ್ರಾ,",ಯುಂಚೀಬ್ರಾ,"yuṃcībrā,",Win
జీతం,ಜೀತಂ,ಜೀತಂ,jītaṃ,Not
లేస,ಲೇಸ,ಲೇಸ,lesa,Our blue
"మనమనినీలా,","ಮನಮನಿನೀಲಾ,",ಮನಮನಿನೀಲಾ,"manamaninīlā,",Deception
వంచ,ವಂಚ,ವಂಚ,vaṃca,'For the Immortals'
'అమరులకు','ಅಮರುಲಕು','ಅಮರುಲಕು','amarulaku',Loss of heaven
స్వర్గపురపటేననష్టం,ಸ್ವರ್ಗಪುರಪಟೇನನಷ್ಟಂ,ಸ್ವರ್ಗಪುರಪಟೇನನಷ್ಟಂ,svargapurapaṭenanaṣṭaṃ,Cut
కట్,ಕಟ್,ಕಟ್,kaṭ,Elms
నెల్ముతుల,ನೆಲ್ಮುತುಲ,ನೆಲ್ಮುತುಲ,nèlmutula,They are withering.
మలచుకేనారు.,ಮಲಚುಕೇನಾರು.,ಮಲಚುಕೇನಾರು,malacukenāru.,Time
కాళం,ಕಾಳಂ,ಕಾಳಂ,kāḻaṃ,Changed.
మారింది.,ಮಾರಿಂದಿ.,ಮಾರಿಂದಿ,māriṃdi.,Sri
శ్రీ,ಶ್ರೀ,ಶ್ರೀ,śrī,Home of peace
శాంతికిగృహం,ಶಾಂತಿಕಿಗೃಹಂ,ಶಾಂತಿಗೃಹಂ,śāṃtikigṛhaṃ,Vachwe
వచ్వె,ವಚ್ವೆ,ವಚ್ವೆ,vacvè,Daily
రోజబు,ರೋಜಬು,ರೋಜಬು,rojabu,Green.
పచ్చుము.,ಪಚ್ಚುಮು.,ಪಚ್ಚುಮು,paccumu.,Half
అర్ఘ,ಅರ್ಘ,ಅರ್ಘ,argha,Part
భాగంగ,ಭಾಗಂಗ,ಭಾಗಂಗ,bhāgaṃga,In the fire
అగనిలోయ,ಅಗನಿಲೋಯ,ಅಗನಿಲೋಯ,aganiloya,Moon
చందరు,ಚಂದರು,ಚಂದರು,caṃdaru,With the previous
పూర్వగతో,ಪೂರ್ವಗತೋ,ಪೂರ್ವಗತೋ,pūrvagato,Not
లేడని,ಲೇಡನಿ,ಲೇಡನಿ,leḍani,Everyone
అందరూ,ಅಂದರೂ,ಅಂದರೂ,aṃdarū,They are eager.
గ్రోత్సుక్తున్నరు.,ಗ್ರೋತ್ಸುಕ್ತುನ್ನರು.,ಗ್ರೋತ್ಸುಕ್ತುನ್ನರು,grotsuktunnaru.,This
ఈ,ಈ,ಈ,ī,Day
రొజు,ರೊಜು,ರೊಜು,ròju,Different
అల్గం,ಅಲ್ಗಂ,ಅಲ್ಗಂ,algaṃ,In various colors
రంగరంగలో,ರಂಗರಂಗಲೋ,ರಂಗರಂಗಲೋ,raṃgaraṃgalo,Complete
పూర్తిచె,ಪೂರ್ತಿಚೆ,ಪೂರ್ತಿಚೆ,pūrticè,Before
