Input Word,Telugu Transliteration,Telugu Meaning,English Transliteration,English Meaning
गिलास,గిలాస,గిలాసం,gilāsa,Glass
अब,అబ,ఇప్పుడు,aba,now
पढ़ो,పढ़ో,చదువు,paढ़o,read
सिर,సిర,తల,sira,head
दिन,దిన,రోజు,dina,day
दिल,దిల,హృదయం,dila,heart
बिल,బిల,బిల్,bila,bill
गिन,గిన,లెక్కించండి,gina,count
विमान,విమాన,విమానం,vimāna,airplane
किसान,కిసాన,రైతు,kisāna,farmer
छिलका,ఛిలకా,ఛిలకా,chilakā,peel
किसीमिश,కిసీమిశ,కిస్మిశ్,kisīmiśa,raisin
झिलमिल,ఝిలమిల,ఝిలమిలి,jhilamila,twinkling
पिघलना,పిఘలనా,గలిగించు,pighalanā,melt
गिरगिट,గిరగిట,గిరగిట్,giragiṭa,chameleon
विटामिन,విటామిన,విటామిన్,viṭāmina,vitamin
अब,అబ,ఇప్పుడు,aba,now
चित्र,చిత్ర,చిత్రం,citra,picture
का,కా,కి,kā,of
नाम,నామ,పేరు,nāma,name
ऊपर,ఊపర,పైకి,ūpara,above
से,సే,నుండి,se,from
चुनकर,చునకర,ఎంచుకోండి,cunakara,select
लिखो,లిఖో,రాయండి,likho,write
-,-,-,-,-
(Decision,(Decision,(నిర్ణయం,(Decision,(Decision
Making),Making),చేసుకోవడం),Making),Making)
विज्ञान,విజ్ఞాన,శాస్త్రం,vijñāna,science
शक्ती,శక్తీ,శక్తి,śaktī,power
की,కీ,పరీక్ష,kī,test
परीक्षा,పరీక్షా,ద్వితీయ,parīkṣā,disaster
द्घ्टया,ద్ఘ్టయా,…,dghṭayā,...
…,…,…,…,...
…,…,…,…,...
…,…,వ్యవసాయం,…,rise of agriculture
खेती,ఖేతీ,యొక్క,khetī,journey of ...
का,కా,ఉదయం,kā,...
उदय,ఉదయ,యాత్ర,udaya,...
की,కీ,…,kī,some work will be done by hands
यात्रा,యాత్రా,…,yātrā,looking at the picture
…,…,…,…,...
…,…,కొంత,…,
…,…,కార్యం,…,
कुछ,కుఛ,చేతుల్లో,kucha,
कार्य,కార్య,ఉంటుంది,kārya,
हाथों,హాథోం,చిత్రం,hāthoṃ,
में,మేం,చూసి,meṃ,
होगा,హోగా,…,hogā,
चित्र,చిత్ర,,citra,
देखकर,దేఖకర,,dekhakara,
…,…,,…,
