Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
6१,6൧,61,61,61
73,73,73,73,73
74,74,74,74,74
76,76,76,76,76
चिहन,ചിഹന,അടയാളങ്ങൾ,cihana,Signs
77,77,77,77,77
78,78,78,78,78
80,80,80,80,80
0,0,0,0,0
81,81,81,81,81
"^,","^,",",","^,",","
83-97,83-97,83-97,83-97,83-97
3.,3.,3.,3.,3.
83,83,83,83,83
कविता,കവിതാ,കാവം,kavitā,Poem
0.,0.,0.,0.,0.
84,84,84,84,84
मारूँगा,മാരൂഁഗാ,കൊല്ലും,mārū~gā,Will kill
87,87,87,87,87
जिराफ़,ജിരാफ़,ജിറാഫ്,jirāfa,Giraffe
-,-,",",-,","
कार्टून-्कथा,കാര്ടൂന-്കഥാ,കാർട്ടൂൺ കഥ,kārṭūna-kathā,Cartoon-story
91,91,91,91,91
डॉक्टर,ഡॉക്ടര,ഡോക്ടര്,ḍaॉkṭara,Doctor
96,96,96,96,96
हैं...,ഹൈം...,ആകുന്നു ...,haiṃ...,Are...
लगते,ലഗതേ,തോന്നി,lagate,Felt
भाल,ഭാല,ഭല്,bhāla,Bhal
राम,രാമ,മുട്ടനാട്,rāma,Ram
-,-,",",-,","
कविता,കവിതാ,കാവം,kavitā,Poem
97,97,97,97,97
मेले,മേലേ,മേള,mele,Fair
की,കീ,ആല്,kī,of
सैर,സൈര,ആനന്ദം യാത്ര,saira,Pleasure trip
अ,അ,ഒരു,a,A
रआ,രആ,റാ,raā,RA
उ,ഉ,യു,u,U
ऊँ,ഊഁ,ഉയര്ന്ന,ū~,High
अ,അ,ഒരു,a,A
~,~,",",~,","
71-72,71-72,71-72,71-72,71-72
प८,പ൮,പി.,pa8,P.
मेरा,മേരാ,എന്റെ,merā,My
परिवार,പരിവാര,കുടുംബം,parivāra,Family
#,#,",",#,","
"7,","7,","7,","7,","7,"
ज॰,ജ॰,ജെ,ja॰,J
श्र,ശ്ര,കേള്ക്കടല്,śra,Listening
-,-,",",-,","
संयुक्ताक्षर,സംയുക്താക്ഷര,സംയോജിപ്പിക്കുക,saṃyuktākṣara,Conjunctive
साथ-साथ,സാഥ-സാഥ,ഒന്നിച്ച്,sātha-sātha,together
दो,ദോ,രണ്ട്,do,Two
व्यंजन,വ്യംജന,പാചകം,vyaṃjana,Cooking
ध्वनियों,ധ്വനിയോം,ശബ്ദം,dhvaniyoṃ,Sounds
के,കേ,ആല്,ke,Of
गीत,ഗീത,പാട്ട്,gīta,Song
हाथी,ഹാഥീ,ആന,hāthī,Elephant
र,ര,സു,ra,Su
के,കേ,ആല്,ke,Of
बढुत,ബഢുത,മെച്ചപ്പെടുത്തി,baḍhuta,Enhanced
से,സേ,മുതല്,se,From
रूप,രൂപ,രൂപം,rūpa,Form
आओ,ആഓ,വരിക,āo,Come
गिनें,ഗിനേം,എണ്ണുക,gineṃ,Count
चित्र-वर्णन,ചിത്ര-വര്ണന,ഛായാചിത്രം,citra-varṇana,Portrait
पढने,പഢനേ,വായന,paḍhane,Reading
की,കീ,ആല്,kī,of
बारी,ബാരീ,ചുറ്റല്,bārī,Turn
बरखा,ബരഖാ,മൺസൂൺ,barakhā,Monsoon
रानो,രാനോ,റരോ,rāno,Rano
-,-,",",-,","
मै,മൈ,ഞാന്,mai,I
किसी,കിസീ,എന്തെങ്കിലും,kisī,Any
को,കോ,... ലേക്ക്,ko,To
नहीं,നഹീം,ഇല്ല,nahīṃ,No
शब्द,ശബ്ദ,വാക്ക്,śabda,Word
चित्र,ചിത്ര,ചിതം,citra,Picture
मेट्रो,മേട്രോ,മെട്രോ,meṭro,Metro
की,കീ,ആല്,kī,of
सैर,സൈര,ആനന്ദം യാത്ര,saira,Pleasure trip
-,-,",",-,","
जानकारी,ജാനകാരീ,വിവരം,jānakārī,Information
जानते,ജാനതേ,അറിയുക,jānate,Know
आप,ആപ,നിങ്ങൾ,āpa,You
