Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
பல்வேறு,ഭല്വേറു,വൈവിധം,bhalveṟu,Variety
சமயங்களை,ഝമയങ്ഘളൈ,മതങ്ങൾ,jhamayaṅghaḻai,Religions
உள்ளடக்கிய,ഉള്ളഢഘ്ഘിയ,മോഹിച്ചു,uḻḻaḍhaghghiya,Coveted
இந்த,ഇന്ധ,ഇവ,indha,These
தாட்டில்,ധാഢ്ഢില്,ജോക്കറ്റ്,dhāḍhḍhil,Jocket
யாருக்கும்,യാരുഘ്ഘും,ആരുംതന്നെയില്ല,yārughghuṃ,Nobody
பிறது,ഭിറധു,നിബിഡത,bhiṟadhu,Congestion
மதத்தை,മധധ്ധൈ,മതം,madhadhdhai,Religion
இழிவுபடுத்தும்,ഇഴിവുഭഢുധ്ധും,അവമതി,il̤ivubhaḍhudhdhuṃ,Disgrace
அதிகாரைப்,അധിഘാരൈഭ്,അധികാരം,adhighāraibh,Authority
வழங்கப்படவில்லை,വഴങ്ഘഭ്ഭഢവില്ലൈ,നൽകിയിട്ടില്ല,val̤aṅghabhbhaḍhavillai,Is not provided
இந்துசமயமக்களும்இத்த,ഇന്ധുഝമയമഘ്ഘളുംഇധ്ധ,ഹിന്ദുമതം,indhujhamayamaghghaḻuṃidhdha,Hinduism
நாட்டிற்கு,നാഢ്ഢിറ്ഘു,രാജ്യത്തേക്ക്,nāḍhḍhiṟghu,To the country
தியாகங்களைப்,ധിയാഘങ്ഘളൈഭ്,ത്യാഗങ്ങൾ,dhiyāghaṅghaḻaibh,Sacrifices
புரிந்துள்ளனர்,ഭുരിന്ധുള്ളனര്,മനസ്സിലാക്കി,bhurindhuḻḻaṉar,Are understood
இந்நிலையில்,ഇന്നിലൈയില്,അടിവരയിടുക,innilaiyil,Underline
தேசிய,ധേഝിയ,ദേശീയം,dhejhiya,National
முன்னணியின்,മുன്னണിയിன്,ഈയം,muṉṉaṇiyiṉ,Lead
தோழமைக்,ധോഴമൈഘ്,കൂട്ടുകെട്ട്,dhol̤amaigh,Companionship
கட்சியான,ഘഢ്ഝിയാன,പാർട്ടി ലെവൽ,ghaḍhjhiyāṉa,Party level
அனைத்துக்கும்,അனൈധ്ധുഘ്ഘും,എല്ലാം,aṉaidhdhughghuṃ,All
தாஜுடின்,ധാജുഢിன്,താജുഡിൻ,dhājuḍhiṉ,Tajudin
களங்கத்தை,ഘളങ്ഘധ്ധൈ,അൽഗോരിതം,ghaḻaṅghadhdhai,Algorithm
ஏற்படுத்தியுள்ளார்,ഏറ്ഭഢുധ്ധിയുള്ളാര്,സ്ഥാപിച്ചു,eṟbhaḍhudhdhiyuḻḻār,Has established
என்பதிக்,എன്ഭധിഘ്,പി,èṉbhadhigh,P
