Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
1ఉ7@,1ഉ7@,1 u 7 @,1u7@,1 u 7@
ఘరఅ,ഘരഅ,ഗാര,gharaa,Ghara
సట,സട,ശവം,saṭa,Sata
1,1,1,1,౧
సమ,സമ,തുലമായ,sama,Equal
1,1,1,1,౧
0,0,0,0,౦
10,10,10,10,౧౦
ః1_ం3ఆ560మ,ഃ1_ം3ആ560മ,ః1_ M 3 അത് 560 മീറ്റർ,ḥ1_ṃ3ā560ma,ః1_m 3 that 560 m
5,5,5,5,౫
(లలగ,(ലലഗ,(ലാലഗ,(lalaga,(Lalaga
5ంచ@,5ംച@,5 @@,5ṃca@,5@@
య66ఖగ,യ66ഖഗ,Y 66,ya66khaga,Y 66
861,861,861,861,౮౬౧
లగ,ലഗ,ലാഗ,laga,Laga
!_1,!_1,! _1,!_1,! _౧
1,1,1,1,౧
(0,(0,(0,(0,(౦
డ,ഡ,D.,ḍa,D.
1,1,1,1,౧
"""","""","""","""",""""
(0,(0,(0,(0,(౦
ౌ6,ൌ6,U 6,au6,Ou 6
సథ-_,സഥ-_,Sata -_,satha-_,SATA -_
ఆ9డఉ,ആ9ഡഉ,അത് 9,ā9ḍau,That 9
'@0ఆ;ర,'@0ആ;ര,'@ 0 അത്; നമുക്ക്,'@0ā;ra,'@0 that; r
అాు@ీ,അാു@ീ,@@@@@@@@@@@@@@@,aāu@ī,@@@@@@@@@@@@@
ం6_,ം6_,66_,ṃ6_,66_
@)),@)),@),@)),@))
ట,ട,ടി,ṭa,T
@9ః,@9ഃ,@ 9,@9ḥ,@9 ః
ఉ,ഉ,അവിടെ,u,There
600ి,600ി,600,600i,600
~ఆ:,~ആ:,~ അത്:,~ā:,~ That:
@0డ,@0ഡ,@ 0,@0ḍa,@0
@థ,@ഥ,@,@tha,@Th
.డ,.ഡ,.Do,.ḍa,.Do
6ఎసే6%మ,6എസേ6%മ,6 ഈസി 6% മീ,6èse6%ma,6 Easi 6%m
600],600],600],600],౬౦౦]
తఃరీ,തഃരീ,തൗവി,taḥrī,Tauri
@ఘ,@ഘ,@Ga,@gha,@Ga
