Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
இயற்கை,ಇಯಱ್ಘೈ,ಸ್ವಭಾವ,iyaṟghai,Nature
மூலிகைகளில்,ಮೂಲಿಘೈಘಳಿಲ್,ಗಿಡಮೂಲಿಕೆಗಳಲ್ಲಿ,mūlighaighaḻil,In the herbs
இருந்து,ಇರುನ್ಧು,ನಿಂದ,irundhu,From
ஈர்த்தெடுக்க்கப்பட்ட,ಈರ್ಧ್ಧೆಢುಘ್ಘ್ಘಭ್ಭಢ್ಢ,ಆಕರ್ಷಕ,īrdhdhèḍhughghghabhbhaḍhḍha,Attracted
வீரிய,ವೀರಿಯ,ದಿನಚರಿ,vīriya,Diary
உட்பொருட்களை,ಉಢ್ಭೊರುಢ್ಘಳೈ,ಹೋಲಿಕೆ,uḍhbhòruḍhghaḻai,Compars
உள்ளடக்கி,ಉಳ್ಳಢಘ್ಘಿ,ಕವರ್,uḻḻaḍhaghghi,Cover -up
எந்த,ಎನ್ಧ,ಯಾವ,èndha,Which
இரசாயன,ಇರಝಾಯನ಼,ರಾಸಾಯನಿಕ,irajhāyaṉa,Chemical
சேர்க்கைகளும்,ಝೇರ್ಘ್ಘೈಘಳುಂ,ಸಂಯೋಜನೆ,jherghghaighaḻuṃ,Combination
இல்லாமல்,ಇಲ್ಲಾಮಲ್,ಇಲ್ಲದೆ,illāmal,Without
உருவாக்கப்பட்ட,ಉರುವಾಘ್ಘಭ್ಭಢ್ಢ,ರಚಿಸಿದ,uruvāghghabhbhaḍhḍha,Created
இந்தியாவின்,ಇನ್ಧಿಯಾವಿನ಼್,ಭಾರತದ,indhiyāviṉ,India's
முதல்,ಮುಧಲ್,ಮೊದಲನೆಯದು,mudhal,First
சித்த,ಝಿಧ್ಧ,ವ್ಯಾಮೋಹ,jhidhdha,Paranoia
தயாரிப்பு,ಧಯಾರಿಭ್ಭು,ಉತ್ಪನ್ನ,dhayāribhbhu,Product
