Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
கோப்புகள்,ಘೋಭ್ಭುಘಳ್,ಉಜ್ಜು,ghobhbhughaḻ,Files
மறைகுறியாக்கப்பட்ட,ಮಱೈಘುಱಿಯಾಘ್ಘಭ್ಭಢ್ಢ,ಸೂಚಿಸಿದ,maṟaighuṟiyāghghabhbhaḍhḍha,Indicated
ணைப்பு,ಣೈಭ್ಭು,ಹೊಣೆಗಾರಿಕೆ,ṇaibhbhu,Liability
மூலம்,ಮೂಲಂ,ಮೂಲ,mūlaṃ,Source
பாதுகாப்பாக,ಭಾಧುಘಾಭ್ಭಾಘ,ಸುರಕ್ಷಿತವಾಗಿ,bhādhughābhbhāgha,Securely
பதிவேற்றப்படுகி,ಭಧಿವೇಱ್ಱಭ್ಭಢುಘಿ,ಉರುಳಿಸು,bhadhiveṟṟabhbhaḍhughi,Upload
ன்றன;,ನ಼್ಱನ಼;,ன ;;;;,ṉṟaṉa;,ன;;;;
கோப்பு,ಘೋಭ್ಭು,ಕಲೆ,ghobhbhu,File
கள,ಘಳ,ಮೈದಾನ,ghaḻa,Field
பாதுகாப்பாக,ಭಾಧುಘಾಭ್ಭಾಘ,ಸುರಕ್ಷಿತವಾಗಿ,bhādhughābhbhāgha,Securely
இருக்கும்,ಇರುಘ್ಘುಂ,ಇರುತ್ತದೆ,irughghuṃ,Will be
செயலாக்கத்திற்குப்,ಝೆಯಲಾಘ್ಘಧ್ಧಿಱ್ಘುಭ್,ಪ್ರಕ್ರಿಯೆಗಾಗಿ,jhèyalāghghadhdhiṟghubh,For processing
பிறகு;,ಭಿಱಘು;,ನಂತರ;,bhiṟaghu;,Then;
அவை,ಅವೈ,ಅವರು,avai,They
நிரந்தரமாக,ನಿರನ್ಧರಮಾಘ,ಶಾಶ್ವತವಾದ,nirandharamāgha,Permanent
நீக்கப்படும்,ನೀಘ್ಘಭ್ಭಢುಂ,ಅಳಿಸಲಾಗುವುದು,nīghghabhbhaḍhuṃ,Will be deleted
