Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
ಪದನಆದು,பதநஆது,கால,padanaādu,Term
ನುಡಿಯಲುಂ,நுடியலும்,Nodulum,nuḍiyaluṃ,Nodulum
ನುಡಿದುದ,நுடிதுத,விளையாடியது,nuḍiduda,Played
ನಆಿಯಲುಮಾರ್ಪರಾ,நஆியலுமார்பரா,நாகலமார்பரா,naāiyalumārparā,Nagalamarpara
ನಾಡವರ್ಗಳ್,நாடவர்கள்,நடவர்,nāḍavargaḻ,Nadavars
ಚದುರರ್,சதுரர்,சிதறல்,cadurar,Scatterer
ನಿಜದಿಂ,நிஜதிம்,உண்மையான,nijadiṃ,Real
ಕುರಿತೋದದೆಯು,குரிதோததெயு,இறப்பு,kuritodadèyu,Disembarkation
ಕಾವ್ಯಪ್ರಯೋಗ,காவ்யப்ரயோக,கவிதை,kāvyaprayoga,Poetry
ಪರಿಣತಮತಿಗಳ್,பரிணதமதிகள்,நிபுணர்,pariṇatamatigaḻ,Specialist
