Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
४ठॅ,೪ಠॅ,४,4ṭhaॅ,४
ग@,ಗ@,G@,ga@,G@
झकूथ४ू,ಝಕೂಥ೪ೂ,Ha ಾಕುತ್ 4,jhakūtha4ū,Jhakuth 4
"ठटँआ""॰","ಠಟಁಆ""॰","ಚುಟಾ ""","ṭhaṭa~ā""॰","Chuta ""॰"
ह,ಹ,ಹೇ,ha,Hey
झीथँँु,ಝೀಥಁಁು,ಜಿತ್ನು,jhītha~~u,Jhithnu
१8,೧8,18,18,18
ड॰ठौॅ२,ಡ॰ಠೌॅ೨,ಧ್ಥೌ 2,ḍa॰ṭhauॅ2,Dhthou 2
२४,೨೪,24,24,24
४%०5,೪%೦5,4%05,4%05,4%05
३४२,೩೪೨,372,342,372
&०,&೦,& 0,&0,& 0
१४४०,೧೪೪೦,140,1440,140
5ठ.,5ಠ.,5,5ṭha.,5
टड़ऋ%,ಟಡ಼ಋ%,ಟಾಡರ್%,ṭar̤aṛ%,Tadr%
लैफ४०६९,ಲೈಫ೪೦೬೯,LAF 4079,laipha4069,Laf 4079
&७९,&೭೯,& 79,&79,& 79
छ१४,ಛ೧೪,ಆರು 14,cha14,Six 14
ठ५छँग,ಠ೫ಛಁಗ,ಜಿ 5,ṭha5cha~ga,G5
७फड़ङ,೭ಫಡ಼ಙ,ಫಾಡ್,7phar̤aṅa,७ Phad
8,8,8,8,8
७ऊू,೭ಊೂ,७ ou,7ūū,७ Ou
*फ़य,*ಫ಼ಯ,*ಫೇ,*faya,*Fay
डई,ಡಈ,ಸತತ,ḍaī,Di
"कण०ट""","ಕಣ೦ಟ""","ಕಣ 0 ""","kaṇa0ṭa""","Particle 0 """
९७०,೯೭೦,960,970,960
छ१,ಛ೧,ಆರು 1,cha1,Six 1
"४०००१ू८"",","೪೦೦೦೧ೂ೮"",",400001.,"40001ū8"",",400001.
छॅ,ಛॅ,ಆರು,chaॅ,Six
७०ूठ%४,೭೦ೂಠ%೪,70%4,70ūṭha%4,70%4
@झ०२१८>,@ಝ೦೨೧೮>,@Jha 0214>,@jha0218>,@Jha 0214>
&$,&$,",",&$,","
>२ट,>೨ಟ,> 2 ಟಿ,>2ṭa,> 2 t
ऑळआ>प८,ऑಳಆ>ಪ೮,Oa> ಪಿ.,ऑḻaā>pa8,Oa> P.
ड॰८०,ಡ॰೮೦,ಡಿ 80,ḍa॰80,D80
ॅ०६०६.,ॅ೦೬೦೬.,0707.,ॅ0606.,0707.
&,&,",",&,","
४४ब,೪೪ಬ,४४ ಬಿ,44ba,४४ B
७ठ०ू,೭ಠ೦ೂ,4 ನೇ,7ṭha0ū,4th
ॅछ,ॅಛ,ಉತ್ತರ,ॅcha,Uttar
ठञक,ಠಞಕ,ನಿಕಲ್,ṭhañaka,Nickel
>चफ़क.,>ಚಫ಼ಕ.,> ಚಾಫಕ್.,>cafaka.,> Chafak.
७ठ,೭ಠ,७,7ṭha,७
६%॰,೬%॰,4%,6%॰,4%॰
७ळड़ह%म,೭ಳಡ಼ಹ%ಮ,4% ರಲ್ಲಿ,7ḻar̤aha%ma,In 4%
२०्,೨೦್,20,20,20
@%७,@%೭,@%,@%7,@%७
छ८२,ಛ೮೨,ಜಿ 42,cha82,G 42
"७०२ॅ""","೭೦೨ॅ""",602,"702ॅ""",602
&8%,&8%,& 8%,&8%,& 8%
पॅ.,ಪॅ.,ಪಿ.,paॅ.,P.
&,&,",",&,","
६%,೬%,4%,6%,4%
७,೭,८,7,८
ठ०ड॰क,ಠ೦ಡ॰ಕ,ತಣ್ಣನೆಯ,ṭha0ḍa॰ka,Cold
&ख,&ಖ,& ಬಿ,&kha,& B
>०ठॅठ९२लपळ.,>೦ಠॅಠ೯೨ಲಪಳ.,> 0 ಚಾಪ್ 2 ಲ್ಯಾಪ್.,>0ṭhaॅṭha92lapaḻa.,> 0 Chop 2 Lap.
११५९छ॰,೧೧೫೯ಛ॰,1159,1159cha॰,1159
४१ण^॰,೪೧ಣ^॰,71 n^4,41ṇa^॰,71 N^4
@०,@೦,@0,@0,@0
०5,೦5,05,05,05
६८९,೬೮೯,79,689,79
ड॰ठकणत॰,ಡ॰ಠಕಣತ॰,ಕುಡಿಯುವುದು 4,ḍa॰ṭhakaṇata॰,Drinking 4
"ै०ल॰""९","ೈ೦ಲ॰""೯","Qu ॰ ""॥","ai0la॰""9","Qu ॰ ""॥"
ल॰ठ२०,ಲ॰ಠ೨೦,Lth 20,la॰ṭha20,Lth 20
ड॰२०८॰,ಡ॰೨೦೮॰,ಡಿ 92079,ḍa॰208॰,D92079
ठड़०ऊड,ಠಡ಼೦ಊಡ,ಕೋಳಿ 0 ಯುಡಿ,ṭhar̤a0ūḍa,Cock 0 Ud
८०,೮೦,60,80,60
6४७४०क,6೪೭೪೦ಕ,640,64740ka,640
२॰,೨॰,29,2॰,29
ह॰ठ,ಹ॰ಠ,ಬಂದರು,ha॰ṭha,Hath
कषग%.,ಕಷಗ%.,ಪರಿಪೂರ್ಣ%.,kaṣaga%.,Perfect%.
कछक,ಕಛಕ,ಕಸ,kachaka,Kachk
७०७२७क,೭೦೭೨೭ಕ,60726,70727ka,60726
हर॰काठू,ಹರ॰ಕಾಠೂ,ಹರ್ರ್ಕಟು,hara॰kāṭhū,Harkathu
ड७ड,ಡ೭ಡ,ಡಿ,ḍa7ḍa,D
े१टक,ೇ೧ಟಕ,1 ಟಕ್,e1ṭaka,1 tuck
७०७8ड०ण,೭೦೭8ಡ೦ಣ,6078 ಡಿ,7078ḍa0ṇa,6078D
@,@,",",@,","
",",",",",",",",","
शठ,ಶಠ,ಕಣ್ಣುಹಾಯಿಸು,śaṭha,Grub
8%ौ८०,8%ೌ೮೦,8%60,8%au80,8%60
>ठड॰,>ಠಡ॰,> ಕೋಲ್ಡ್ 4,>ṭhaḍa॰,> Cold 4
ढ०कड७क०टय४ू,ಢ೦ಕಡ೭ಕ೦ಟಯ೪ೂ,ಡಿ. ಕಾಡ್ 4 ಕೆ ಟಿ,ḍha0kaḍa7ka0ṭaya4ū,D. Kad 4 K T
ऑ०६४%छ,ऑ೦೬೪%ಛ,04%ಗ್ರಾಂ,ऑ064%cha,O 04%g
>९८,>೯೮,> ९,>98,> ९ ८
छ७८>,ಛ೭೮>,ಆರು>,cha78>,Six>
&,&,",",&,","
४ड,೪ಡ,4d,4ḍa,4D
@॰ऋ%छ,@॰ಋ%ಛ,@R r%g,@॰ṛ%cha,@॰ R%G
डॅू८टर्र्ई,ಡॅೂ೮ಟರ್ರ್ಈ,ಮಂಕಾದ,ḍaॅū8ṭarrī,Du
@०६.,@೦೬.,@04.,@06.,@04.
७८४०6,೭೮೪೦6,606,78406,606
४ड,೪ಡ,4d,4ḍa,4D
>ॅ%ूक,>ॅ%ೂಕ,>%,>ॅ%ūka,>%
क१०ञ,ಕ೧೦ಞ,ಎ 10 ಜೆ,ka10ña,A 10 J
७>ू॰,೭>ೂ॰,4> pr,7>ū॰,4> Pr
"भ६त,","ಭ೬ತ,","ಮುಗಿದಿದೆ,","bha6ta,","Finished,"
७ॅू%,೭ॅೂ%,4%,7ॅū%,4%
",",",",",",",",","
७ॅू,೭ॅೂ,८,7ॅū,८
(ै),(ೈ),(),(ai),()
७णठँ॰,,,,
२२५,೨೨೫,225,225,225
ठ०७6९,ಠ೦೭6೯,0469,ṭha0769,0469
७ॅूठूट॰,೭ॅೂಠೂಟ॰,4,7ॅūṭhūṭa॰,4
ध%,ಧ%,ಕೊಳಕು,dha%,Dirt
"6>0,","6>0,","6> 0,","6>0,","6> 0,"
