Input Word,Kannada Transliteration,Kannada Meaning,English Transliteration,English Meaning
పరమాత్ముడు,ಪರಮಾತ್ಮುಡು,ಪರಮಾತ್ಮುಡು,paramātmuḍu,Supreme Being
శ్రీ,ಶ್ರೀ,ಶ್ರೀ,śrī,Sri
పరమశివుడిని,ಪರಮಶಿವುಡಿನಿ,ಪರಮಶಿವುಡಿನಿ,paramaśivuḍini,Remembering the Supreme Shiva
సమానంగా,ಸಮಾನಂಗಾ,ಸಮಾನಂಗಾ,samānaṃgā,Equally
స్మరిస్తూ,ಸ್ಮರಿಸ್ತೂ,ಸ್ಮರಿಸ್ತೂ,smaristū,Creating
పరమాత్మయిన,ಪರಮಾತ್ಮಯಿನ,ಪರಮಾತ್ಮಯಿನ,paramātmayina,In the form of the Supreme Being
స్రుష్టి,ಸ್ರುಷ್ಟಿ,ಸ್ರುಷ್ಟಿ,sruṣṭi,Creation
కార్యక్షముని,ಕಾರ್ಯಕ್ಷಮುನಿ,ಕಾರ್ಯಕ್ಷಮುನಿ,kāryakṣamuni,Efficient
నిరంతరం,ನಿರಂತರಂ,ನಿರಂತರಂ,niraṃtaraṃ,Continuously
శక్తి,ಶಕ್ತಿ,ಶಕ್ತಿ,śakti,Power
క్రీడ,ಕ್ರೀಡ,ಕ್ರೀಡ,krīḍa,Play
లోనికి,ಲೋನಿಕಿ,ಲೋನಿಕಿ,loniki,Inside
నిష్పన్న,ನಿಷ್ಪನ್ನ,ನಿಷ್ಪನ್ನ,niṣpanna,Accomplish
చేస్తావు.,ಚೇಸ್ತಾವು.,ಚೇಸ್ತಾವು.,cestāvu.,Son
మగనాడు,ಮಗನಾಡು,,maganāḍu,For creation
స్రుష్టికి,ಸ್ರುಷ್ಟಿಕಿ,,sruṣṭiki,For play
క్రీడకి,ಕ್ರೀಡಕಿ,,krīḍaki,There
అల్లిన,ಅಲ್ಲಿನ,,allina,Small
చిక్క,ಚಿಕ್ಕ,,cikka,knots
knots,knots,,knots,Anugoo
అనుగుoګ,ಅನುಗುoګ,,anuguoګ,foundation
foundation,foundation,,foundation,it
it,it,,it,Complete
పూర్తిని,ಪೂರ್ತಿನಿ,,pūrtini,State of being
స్టేట్o్రడిండిగా,ಸ್ಟೇಟ್o್ರಡಿಂಡಿಗಾ,,sṭeṭoraḍiṃḍigā,own
own,own,,own,Some
కొన్ని,ಕೊನ್ನಿ,,kònni,Suggest
సాగతేర్ధ్,ಸಾಗತೇರ್ಧ್,,sāgaterdh,Indicate
సూచూటా,ಸೂಚೂಟಾ,,sūcūṭā,Different
లోని,ಲೋನಿ,,loni,Essential
తదితర,ತದಿತರ,,taditara,Root cause
కీలక,ಕೀಲಕ,,kīlaka,Your
మూలపట్టు,ಮೂಲಪಟ್ಟು,,mūlapaṭṭu,Leader
మీ,ಮೀ,,mī,Our
నాయకుడని,ನಾಯಕುಡನಿ,,nāyakuḍani,Say
