Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
இயற்கை,ഇയറ്ഘൈ,പകൃതി,iyaṟghai,Nature
மூலிகைகளில்,മൂലിഘൈഘളില്,Bs ഷധസസ്യങ്ങളിൽ,mūlighaighaḻil,In the herbs
இருந்து,ഇരുന്ധു,മുതല്,irundhu,From
ஈர்த்தெடுக்கப்பட்ட,ഈര്ധ്ധെഢുഘ്ഘഭ്ഭഢ്ഢ,ആകർഷിച്ചു,īrdhdhèḍhughghabhbhaḍhḍha,Attracted
வீரவ,വീരവ,വീരസം,vīrava,Heroism
உட்பொருட்களை,ഉഢ്ഭൊരുഢ്ഘളൈ,കയറുക,uḍhbhòruḍhghaḻai,Compars
உள்ளடக்கி,ഉള്ളഢഘ്ഘി,മൂടിവയ്ക്കുക,uḻḻaḍhaghghi,Cover -up
எந்த,എന്ധ,ഏത്,èndha,Which
இரசாயன,ഇരഝായன,രാസവസ്തു,irajhāyaṉa,Chemical
சேர்க்கைகளும்,ഝേര്ഘ്ഘൈഘളും,സമ്മിശണം,jherghghaighaḻuṃ,Combination
இல்லாமல்,ഇല്ലാമല്,കൂടാതെ,illāmal,Without
உருவாக்கப்பட்ட,ഉരുവാഘ്ഘഭ്ഭഢ്ഢ,സൃഷ്ടിച്ചു,uruvāghghabhbhaḍhḍha,Created
இந்தியாவின்,ഇന്ധിയാവിன്,ഇന്ത്യ,indhiyāviṉ,India's
முதல்,മുധല്,ഒന്നാമതായ,mudhal,First
சித்த,ഝിധ്ധ,പരോനോയ,jhidhdha,Paranoia
தயாரிப்பு.,ധയാരിഭ്ഭു.,ഉൽപ്പന്നം.,dhayāribhbhu.,Product.
