Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
இயற்கை,ഇയറ്ഘൈ,പ്രകൃതി,iyaṟghai,Nature
மூலிகைகளில்,മൂലിഘൈഘളില്,മൂലികകളിൽ,mūlighaighaḻil,From herbs
இருந்து,ഇരുന്ധു,നിന്ന്,irundhu,Extracted
ஈர்த்தெடுக்கப்பட்ட,ഈര്ധ്ധെഢുഘ്ഘഭ്ഭഢ്ഢ,പിന്തുണയ്ക്കുന്ന,īrdhdhèḍhughghabhbhaḍhḍha,Energy
வீரிய,വീരിയ,വീര്യം,vīriya,Ingredients
உட்பொருட்களை,ഉഢ്ഭൊരുഢ്ഘളൈ,ഉപകരണങ്ങൾ,uḍhbhòruḍhghaḻai,Containing
உள்ளடக்கிய,ഉള്ളഢഘ്ഘിയ,ഉള്ളടക്കി,uḻḻaḍhaghghiya,Any
எந்த,എന്ധ,ഏതെങ്കിലും,èndha,Chemical
இரசாயன,ഇരഝായன,രാസായനികളും,irajhāyaṉa,Additives
சேர்க்கைகளும்,ഝേര്ഘ്ഘൈഘളും,ഇല്ലാതെ,jherghghaighaḻuṃ,Made without
இல்லாமல்,ഇല്ലാമല്,ഉണ്ടാക്കപ്പെട്ട,illāmal,India's
உருவாக்கப்பட்ட,ഉരുവാഘ്ഘഭ്ഭഢ്ഢ,ഇന്ത്യയുടെ,uruvāghghabhbhaḍhḍha,First
இந்தியாவின்,ഇന്ധിയാവിன്,ആദ്യ,indhiyāviṉ,Siddha
முதல்,മുധല്,സിഡ്,mudhal,Preparation.
சித்,ഝിധ്,നിർമ്മാണം.,jhidh,
தயாரிப்பு.,ധയാരിഭ്ഭു.,,dhayāribhbhu.,
