Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
తలిదండ్రుం,தலிதம்ட்ரும்,பெற்றோர்,talidaṃḍruṃ,The parents
నీదరో,நீதரோ,உங்களுடையது,nīdaro,Yours
ఉన్నంఠ,உந்நம்ட,வெல்லுங்கள்,unnaṃṭha,Overcome
ణలం,ணலம்,நலம்,ṇalaṃ,Nalam
ఆనియదు,ஆநியது,கவலைப்பட வேண்டாம்,āniyadu,Do not worry
',','',',''
లాధ్యరలు,லாத்யரலு,மொழிபெயர்ப்பாளர்கள்,lādhyaralu,Translators
లెంటే,லெம்டே,லென்டி,lèṃṭe,Lenty
పమిటో,பமிடோ,பாமிட்டோ,pamiṭo,Pamito
లిని:,லிநி:,வரி:,lini:,Line:
చదువు,சதுவு,படிக்க,caduvu,Read
లయిపాయేదాణ,லயிபாயேதாண,நீடிக்கும்,layipāyedāṇa,Lasting
రరియడు,ரரியடு,ரியாடு,rariyaḍu,Rhyadu
.,.,.,.,.
సమాజం,ஸமாஜம்,சமூகம்,samājaṃ,Society
లించ,லிம்ச,லினீ,liṃca,Lineae
పమిటు,பமிடு,பாமிது,pamiṭu,Pamitu
ల0..,ல0..,0 ..,la0..,0 ..
కష్టం,கஷ்டம்,கடினம்,kaṣṭaṃ,Difficult
వచ్చే,வச்சே,வாருங்கள்,vacce,Come on
వరకూ,வரகூ,வரை,varakū,Up to
ఎయదు,எயது,வேண்டாம்,èyadu,Do not
',','',',''
ఓవిగం,ஓவிகம்,ஓவிகாம்,ovigaṃ,Ovigam
ఇంటే,இம்டே,அது,iṃṭe,It is
పమిట,பமிட,பாமிதா,pamiṭa,Pamita
లని:,லநி:,லானி:,lani:,Lani:
.,.,.,.,.
!!,!!,!!,!!,!!
