Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
ఈ,ஈ,இது,ī,this
యాప్లో,யாப்லோ,ஆப்,yāplo,app
మీరు,மீரு,நீ,mīru,you
మా,மா,எங்கு,mā,our
అమ్మమీ,அம்மமீ,அம்மா,ammamī,aunt
పేరును,பேருநு,பெயர்,perunu,name
ఎందుకు,எம்துகு,எப்படி,èṃduku,why
చూస్తున్నారు?,சூஸ்துந்நாரு?,நீங்கள்,cūstunnāru?,are you watching?
ఎందుకంటే,எம்துகம்டே,எப்படி,èṃdukaṃṭe,because
"""అమ్మ","""அம்ம","""அம்மா","""amma","""mom"
మీకు,மீகு,உங்களுக்கு,mīku,you
"ఎందుకు""","எம்துகு""","எப்படி""","èṃduku""","why"""
అందులోని,அம்துலோநி,அதில்,aṃduloni,in
ఇన్సిప్లియత్,இந்ஸிப்லியத்,முறையில்,insipliyat,insiplicity
తత్వం,தத்வம்,தத்துவம்,tatvaṃ,principle
హెల్త్,ஹெல்த்,ஆரோக்கியம்,hèlt,health
న్యూస్,ந்யூஸ்,செய்திகள்,nyūs,news
ప్రోమోషన్,ப்ரோமோஷந்,ஊக்கம்,promoṣan,promotion
