Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
मेरी,மேரீ,என்,merī,My
तबियत,தபியத,உடல்,tabiyata,health
ठीक,டீக,சரியாக,ṭhīka,is
नहीं,நஹீம்,இல்லை,nahīṃ,not
है।,ஹை।,அல்லது,hai|,good.
कुछ,குச,பல,kucha,Feeling
अच्छा,அச்சா,நல்ல,acchā,not
नहीं,நஹீம்,பார்வை,nahīṃ,well
लग,லக,இல்லை,laga,some
रहा,ரஹா,இருக்கிறது,rahā,good
है।,ஹை।,இருந்து,hai|,from
दो,தோ,பல,do,two
दिन,திந,உணவு,dina,days
से,ஸே,சாப்பிட்டு,se,not
कुछ,குச,இல்லை,kucha,eaten
खाया,காயா,வியாழன்,khāyā,also.
भी,பீ,நாளில்,bhī,On Thursday
नहीं,நஹீம்,அனைத்து,nahīṃ,all
है।,ஹை।,மரங்களை,hai|,deer
बृहस्पतिवार,ப்ரு'ஹஸ்பதிவார,மருத்துவருக்கு,bṛhaspativāra,to
को,கோ,கொண்டு,ko,doctor
सब,ஸப,செல்லுகின்றனர்,saba,giraffe
हिरन,ஹிரந,மருத்துவர்,hirana,to
को,கோ,மருந்து,ko,take
डॉक्टर,டॉக்டர,கொடுக்கின்றார்,ḍaॉkṭara,go.
जिराफ,ஜிராப,நீங்கள்,jirāpha,Dr.
के,கே,சிறிய,ke,Giraffe
पास,பாஸ,ஜுக்கம்,pāsa,medicine
ले,லே,மற்றும்,le,gives.
जाते,ஜாதே,கப்சியத்து,jāte,You
हैं।,ஹைம்।,உள்ளீர்கள்,haiṃ|,have
डॉ.,டॉ.,என்,ḍaॉ.,a little
जिराफ,ஜிராப,மருந்து,jirāpha,fever
दवाई,தவாஈ,கொடுக்கிறேன்,davāī,and
देते,தேதே,நாள்,dete,constipation.
हैं।,ஹைம்।,இருக்கும்,haiṃ|,I
तुम्हे,தும்ஹே,இரு,tumhe,medicine
थोड़ा,தோஃட²ா,முறை,thor̤ā,give.
बुखार,புகார,இந்த,bukhāra,Twice
और,ஔர,மருந்து,aura,a day
कब्जियत,கப்ஜியத,ஒரு-ஒரு,kabjiyata,this
है।,ஹை।,கரண்டு,hai|,medicine
में,மேம்,எடுத்துக்கொள்ள,meṃ,one-one
दवाई,தவாஈ,பச்சை,davāī,spoon
दे,தே,காய்கள்,de,take.
देता,தேதா,மற்றும்,detā,Eat
हूँ।,ஹூँ।,பழங்கள்,hū~|,green vegetables
दिन,திந,உண்டு,dina,and
में,மேம்,நீங்கள்,meṃ,fruits.
दो,தோ,முழுவதும்,do,You
बार,பார,ஆரோக்கியமாக்கப்பட்டுள்ளீர்கள்,bāra,completely
यह,யஹ,,yaha,healthy.
दवाई,தவாஈ,,davāī,
एक-एक,ஏக-ஏக,,eka-eka,
चम्मच,சம்மச,,cammaca,
लेना।,லேநா।,,lenā|,
हरी,ஹரீ,,harī,
सब्जियाँ,ஸப்ஜியாँ,,sabjiyā~,
और,ஔர,,aura,
फल,பல,,phala,
खाओ।,காஓ।,,khāo|,
तुम,தும,,tuma,
बिलकुल,பிலகுல,,bilakula,
स्वस्थ,ஸ்வஸ்த,,svastha,
92,92,,92,
