Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
இயற்கை,ഇയറ്ഘൈ,പ്രകൃതി,iyaṟghai,Nature
மூலிகைகளில்,മൂലിഘൈഘളില്,ഔഷധചെടികളിൽ,mūlighaighaḻil,From herbs
இருந்து,ഇരുന്ധു,നിന്ന്,irundhu,Obtained
ஏற்கெடுக்கப்பட்ட,ഏറ്ഘെഢുഘ്ഘഭ്ഭഢ്ഢ,നേരിട്ട,eṟghèḍhughghabhbhaḍhḍha,Extracted
வீரிய,വീരിയ,ശക്തി,vīriya,Energy
உட்பொருட்களை,ഉഢ്ഭൊരുഢ്ഘളൈ,ഉപകരണങ്ങൾ,uḍhbhòruḍhghaḻai,Ingredients
உள்ளடக்கிய,ഉള്ളഢഘ്ഘിയ,ഉൾപ്പെടുത്തി,uḻḻaḍhaghghiya,Containing
எந்த,എന്ധ,ഏതെങ്കിലും,èndha,Any
இரசாயன,ഇരഝായன,രാസായനികളും,irajhāyaṉa,Chemical
சேர்க்கைகளும்,ഝേര്ഘ്ഘൈഘളും,ഇല്ലാതെ,jherghghaighaḻuṃ,Additives
இல்லாமல்,ഇല്ലാമല്,നിർമ്മിതമായ,illāmal,Without
உருவாக்கப்பட்ட,ഉരുവാഘ്ഘഭ്ഭഢ്ഢ,ഇന്ത്യയുടെ,uruvāghghabhbhaḍhḍha,Manufactured
இந்தியாவின்,ഇന്ധിയാവിன്,ആദ്യ,indhiyāviṉ,India's
முதல்,മുധല്,സിദ്ധ,mudhal,First
சித்த,ഝിധ്ധ,നിർമ്മാണം.,jhidhdha,Siddha
தயாரிப்பு.,ധയാരിഭ്ഭു.,,dhayāribhbhu.,Preparation.
