Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
शब्द-पठन,ஶப்த-படந,சொற்பாடு,śabda-paṭhana,Word-reading
अब,அப,இப்போது,aba,Now
आम,ஆம,பொது,āma,Mango
आज,ஆஜ,இன்று,āja,Today
इस,இஸ,இந்த,isa,This
इन,இந,இவை,ina,These
ईख,ஈக,ஈக்,īkha,Ink
उठ,உட,எழு,uṭha,Wake up
उन,உந,அவர்கள்,una,Them
एक,ஏக,ஒரு,eka,One
एश,ஏஶ,ஏஷ்,eśa,Ash
अंक,அம்க,எண்,aṃka,Number
ओठ,ஓட,ஓட்டு,oṭha,Lip
ओस,ஓஸ,ஓசை,osa,Dew
और,ஔர,மேலும்,aura,And
ओर,ஓர,அல்லது,ora,Or
कल,கல,நாளை,kala,Tomorrow
खा,கா,உண்,khā,Eat
गज,கஜ,காடு,gaja,Elephant
घट,கட,கடு,ghaṭa,Reduce
चख,சக,சாப்பிடு,cakha,Taste
छत,சத,குறை,chata,Roof
जड़,ஜஃட²,காசு,jar̤a,Root
झट,சட,கால்,jhaṭa,Quick
टब,டப,பாதம்,ṭaba,Tub
ठक,டக,பத்து,ṭhaka,Thud
ढू,டூ,பஸ்,ḍhū,Smoke
डग,டக,நிகர்,ḍaga,Shore
तट,தட,பாகம்,taṭa,Wealth
धन,தந,பழம்,dhana,Ten
दस,தஸ,ரத்தம்,dasa,Bus
बस,பஸ,லட்டு,basa,Fill
भर,பர,நாள்,bhara,Vein
नस,நஸ,மனம்,nasa,Foot
पग,பக,யஷ்,paga,Fruit
फल,பல,சமம்,phala,Chariot
रथ,ரத,நாம்,ratha,Latch
लट,லட,வாக்,laṭa,Tap
नल,நல,ஷாப்,nala,Mind
मन,மந,குறை,mana,Fame
यश,யஶ,சிக்கல்,yaśa,Together
सम,ஸம,பல்,sama,We
हम,ஹம,வகை,hama,Cry
वक,வக,வகு,vaka,Shave
शफ,ஶப,சாலை,śapha,Reduce
घट,கட,பணி,ghaṭa,Labor
श्रम,ஶ்ரம,மனை,śrama,Moment
पल,பல,யக்ஞம்,pala,Classroom
कक्ष,கக்ஷ,கால்,kakṣa,Letter
पत्र,பத்ர,ஜல்,patra,Sacrifice
यज्ञ,யஜ்ஞ,பல்,yajña,Plow
हल,ஹல,வீடு,hala,Water
जल,ஜல,மேல்,jala,Strength
बल,பல,கண்,bala,House
घर,கர,பெண்,ghara,On
पर,பர,ஆடு,para,Glasses
ऐनक,ஐநக,சாதம்,ainaka,Woman
औरत,ஔரத,குறை,aurata,Fire
औध,ஔத,மொட்டை,audha,Average
औसत,ஔஸத,பாதுகா,ausata,Lotus
कमल,கமல,ரப்பா,kamala,News
खबर,கபர,சாலை,khabara,Hot
गरम,கரம,வீதி,garama,Soft
नरम,நரம,மனை,narama,Sister
बहन,பஹந,மகிழ்,bahana,But
मगर,மகர,சில்லு,magara,Peas
मटर,மடர,ராகம்,maṭara,Duck
बतख,பதக,பிடு,batakha,Rubber
रबड़,ரபஃட²,கத்தல்,rabar̤a,Road
सड़क,ஸஃட²க,சீமை,sar̤aka,Building
भवन,பவந,அச்சம்,bhavana,City
नगर,நகர,சர்க்கஸ்,nagara,Fragrance
महक,மஹக,தெர்மாஸ்,mahaka,Chirp
चहक,சஹக,பானகட்டி,cahaka,Scratch
रागड़,ராகஃட²,சர்பத்,rāgar̤a,Catch
पकड़,பகஃட²,அலகம்,pakar̤a,Jackfruit
कटहल,கடஹல,கழுத்து,kaṭahala,Turnip
शलगम,ஶலகம,ஹார்ட்,śalagama,Unripe
अचकन,அசகந,டம்டம்,acakana,Circus
सर्कस,ஸர்கஸ,சர்கம்,sarkasa,Thermos
थरमस,தரமஸ,பாடப்பட்டல்,tharamasa,Waterfall
पनघट,பநகட,வழிகாட்டு.,panaghaṭa,Sherbet
शरबत,ஶரபத,,śarabata,Banyan tree
बरगद,பரகத,,baragada,Neck
गरदन,கரதந,,garadana,Always
हर्दम,ஹர்தம,,hardama,Glimmer
टमटम,டமடம,,ṭamaṭama,Melody
सरगम,ஸரகம,,saragama,Teaching
अध्यापन,அத்யாபந,,adhyāpana,Instructions
निर्देश,நிர்தேஶ,,nirdeśa,
