Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
डॉक्टर,டॉக்டர,மருத்துவர்,ḍaॉkṭara,Doctor
जिराफ़,ஜிராஃப,கருவால்,jirāfa,Giraffe
L.O.,L.O.,L.O.,L.O.,L.O.
"5,","5,",5,"5,",5
"9,","9,",9,"9,",9
11,11,11,11,11
प्रश्न-,ப்ரஶ்ந-,கேள்வி-,praśna-,Question-
जब,ஜப,போக,jaba,When
कोई,கோஈ,யார்,koī,Someone
मित्र,மித்ர,நட்பு,mitra,Friend
खेलने,கேலநே,விளையாட,khelane,Playing
नहीं,நஹீம்,இல்லை,nahīṃ,Not
आए,ஆஏ,வருக,āe,Come
तो,தோ,எப்படி,to,Then
क्या,க்யா,செய்யும்,kyā,What
करते,கரதே,?,karate,Do
हैं,ஹைம்,எனவே,haiṃ,?
?,?,நீங்கள்,?,If
यदि,யதி,நோய்,yadi,You
आप,ஆப,பெற,āpa,Sick
बीमार,பீமார,போக,bīmāra,Become
हो,ஹோ,என்ன,ho,Then
जाएं,ஜாஏம்,செய்யுவீர்கள்,jāeṃ,What
तो,தோ,?,to,Will Do
क्या,க்யா,பழங்கள்-காய்கள்,kyā,?
करेंगे,கரேம்கே,சாப்பிட,kareṃge,Fruits-Vegetables
?,?,எப்படி,?,Eating
फल-सब्जियां,பல-ஸப்ஜியாம்,முக்கியம்,phala-sabjiyāṃ,Why
खाना,காநா,உள்ளது,khānā,Necessary
क्यों,க்யோம்,?,kyoṃ,Is
जरूरी,ஜரூரீ,காடு,jarūrī,?
है,ஹை,மேல்,hai,In the jungle
?,?,கரடி,?,Bear
जंगल,ஜம்கல,,jaṃgala,Deer
में,மேம்,ஜானு,meṃ,Rabbit
"भालू,","பாலூ,",,"bhālū,",Squirrel
"हिरन,","ஹிரந,",முயல்,"hirana,",and Monkey
"खरगोश,","கரகோஶ,",,"kharagośa,",used to live. They were good friends. They used to play together
गिलहरी,கிலஹரீ,பால்,gilaharī,have fun
और,ஔர,மற்றும்,aura,and also share their food.
बंदर,பம்தர,குரங்கு,baṃdara,
रहते,ரஹதே,வசித்திருந்தனர்।,rahate,
थे।,தே।,அவர்கள்,the|,
वे,வே,நல்ல,ve,
अच्छे,அச்சே,நண்பர்கள்,acche,
मित्र,மித்ர,ஆனர்।,mitra,
थे।,தே।,ஒன்றுக்கு மற்றும்,the|,
आपस,ஆபஸ,விளையாட,āpasa,
में,மேம்,மற்றும்,meṃ,
मिलकर,மிலகர,மகிழ்ச்சியாக,milakara,
खेलते-कूदते,கேலதே-கூததே,செய்து,khelate-kūdate,
और,ஔர,வருகின்றனர்।,aura,
मजे,மஜே,தங்கள்-தங்கள்,maje,
करते,கரதே,உணவு,karate,
थे।,தே।,கூட்டி,the|,
अपना-अपना,அபநா-அபநா,சாப்பிட,apanā-apanā,
भोजन,போஜந,விரும்பினர்।,bhojana,
भी,பீ,,bhī,
मिल-बाँटकर,மில-பாँடகர,,mila-bā~ṭakara,
खाते,காதே,,khāte,
थे।,தே।,,the|,
