Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
नन्हे-,நந்ஹே-,சிறிய,nanhe-,Little
मुन्ने,முந்நே,முன்னே,munne,Munne
प्यारे,ப்யாரே,அன்பே,pyāre,Dear
-,-,அருவடிக்கு,-,","
"प्यारे,","ப்யாரே,","அன்பே,","pyāre,","Dear,"
माता-,மாதா-,தாய்-,mātā-,Mother-
पिता,பிதா,தந்தை,pitā,Father
की,கீ,of,kī,of
आँख,ஆँக,கண்,ā~kha,eye
के,கே,Of,ke,Of
तारे|,தாரே|,நட்சத்திரங்கள் |,tāre|,Stars |
है,ஹை,என்பது,hai,Is
घर,கர,வீடு,ghara,Home
का,கா,Of,kā,Of
"उजियारा,","உஜியாரா,","உஜியாரா,","ujiyārā,","Ujiara,"
उठत,உடத,ரோஜா,uṭhata,Rose
हे,ஹே,ஏய்,he,Hey
आँगन,ஆँகந,முற்றத்தில்,ā~gana,courtyard
सास,ஸாஸ,தாய்,sāsa,Mother in law
|,|,அருவடிக்கு,|,","
खिल,கில,பூக்கும்,khila,Bloom
"न्यारे,","ந்யாரே,","Nyare,","nyāre,","Nyare,"
हँसी-,ஹँஸீ-,சிரிப்பு-,ha~sī-,laughter-
खुशी,குஶீ,மகிழ்ச்சி,khuśī,Happiness
के,கே,Of,ke,Of
गीत,கீத,பாடல்,gīta,Song
"गाते,","காதே,","பாடும்,","gāte,","Singing,"
प्यारी-,ப்யாரீ-,அழகா-,pyārī-,cutie-
प्यारी,ப்யாரீ,அழகா,pyārī,cutie
बात,பாத,பேச்சு,bāta,talk
बताते,பதாதே,சொல்லும்,batāte,Telling
|,|,அருவடிக்கு,|,","
से,ஸே,இருந்து,se,From
मन,மந,மனம்,mana,Mind
बहलाते,பஹலாதே,நீடித்தது,bahalāte,Sustained
हम,ஹம,நாங்கள்,hama,We
बच्चे,பச்சே,குழந்தைகள்,bacce,Children
हमसे,ஹமஸே,எங்களிடமிருந்து,hamase,From us
सबसे,ஸபஸே,அனைவருக்கும்,sabase,To all
हमारे,ஹமாரே,எங்கள்,hamāre,Our
काम,காம,வேலை,kāma,Work
राजदुलार,ராஜதுலார,ராஜ்துலர்,rājadulāra,Rajdular
घर,கர,வீடு,ghara,Home
के,கே,Of,ke,Of
अपने,அபநே,எங்கள்,apane,Our
शरारतों,ஶராரதோம்,குறும்பு,śarāratoṃ,Mischief
कहलात,கஹலாத,மலம்,kahalāta,Stool
अच्छे,அச்சே,நல்லது,acche,Good
