Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
పరమాత్ముడు,பரமாத்முடு,உச்சநிலை,paramātmuḍu,The Supreme Being
పురుషులిద్దరినీ,புருஷுலித்தரிநீ,இருவரும்,puruṣuliddarinī,Both men
సమానంగా,ஸமாநம்கா,சமமாக,samānaṃgā,Equally
సృష్టిస్తూ,ஸ்ரு'ஷ்டிஸ்தூ,உருவாக்குதல்,sṛṣṭistū,Creating
పవిత్రమయిన,பவித்ரமயிந,புனிதமான,pavitramayina,The sacred
సృష్టి,ஸ்ரு'ஷ்டி,உருவாக்கம்,sṛṣṭi,Creation
కార్యక్రమాన్ని,கார்யக்ரமாந்நி,திட்டம்,kāryakramānni,Program
నిర్వహించే,நிர்வஹிம்சே,நிர்வகிக்கப்பட்டது,nirvahiṃce,Managed
శక్తిని,ஶக்திநி,சக்தி,śaktini,Power
స్తీలో,ஸ்தீலோ,ஸ்டீயில்,stīlo,In the stie
నిక్షిప్తం,நிக்ஷிப்தம்,சேமிப்பு,nikṣiptaṃ,Storage
చేశాడు,சேஶாடு,அதைச் செய்தது,ceśāḍu,Did it
మగవాడు,மகவாடு,ஆண்,magavāḍu,Male
స్వార్ధంతో,ஸ்வார்தம்தோ,சுயநலத்துடன்,svārdhaṃto,With selfishness
స్ర్తీలోని,ஸ்ர்தீலோநி,Stti இல்,srtīloni,In the stti
అన్ని,அந்நி,அனைத்தும்,anni,All
శక్తులనూ,ஶக்துலநூ,படைகள்,śaktulanū,The forces
అణగగొట్టి,அணககொட்டி,ஒடுக்கப்பட்ட,aṇagagòṭṭi,Oppressed
ఆమెను,ஆமெநு,அவள்,āmènu,Her
పిల్లల్ని,பில்லல்நி,குழந்தைகள்,pillalni,Children
కనే,கநே,கேன்,kane,Kane
"యంఠ్రంలా,","யம்ட்ரம்லா,","மெத்தையின் முகத்தில் உள்ளன,","yaṃṭhraṃlā,","Are in the face of the mattress,"
జీరం,ஜீரம்,ஜீராம்,jīraṃ,Jeeram
లేని,லேநி,இல்லாமல்,leni,Without
పనిమనిషిలా;,பநிமநிஷிலா;,ஒரு பணிப்பெண்;,panimaniṣilā;,A maid;
తన,தந,அவரது,tana,His
'అవసరానికి','அவஸராநிகி','தேவைக்கு','avasarāniki','For the need'
సృష్టించబడిన,ஸ்ரு'ஷ்டிம்சபடிந,உருவாக்கப்பட்டது,sṛṣṭiṃcabaḍina,Created
ఒక,ஒக,A,òka,A
వస్తువులా,வஸ்துவுலா,பொருள் போல,vastuvulā,Like the object
మలచుకున్నాడు,மலசுகுந்நாடு,பிட்,malacukunnāḍu,Holded
కాలం,காலம்,காலம்,kālaṃ,Period
మారింది,மாரிம்தி,மாறிவிட்டது,māriṃdi,Have changed
స్ర్తీ,ஸ்ர்தீ,ஸ்டுர்தி,srtī,Sturti
శక్తికి,ஶக்திகி,அதிகாரத்திற்கு,śaktiki,To power
గుర్తింపు,குர்திம்பு,அங்கீகாரம்,gurtiṃpu,Recognition
వచ్చే,வச்சே,வாருங்கள்,vacce,Come on
రోజులు,ரோஜுலு,நாட்கள்,rojulu,Days
వచ్చాయి:,வச்சாயி:,வந்துள்ளது:,vaccāyi:,Have arrived:
అర్ధ,அர்த,பாதி,ardha,Half
భాగం,பாகம்,பகுதி,bhāgaṃ,Part
అణగిపోయి,அணகிபோயி,மனச்சோர்வடைய வேண்டும்,aṇagipoyi,To be depressed
వుంటే,வும்டே,இருந்தால்,vuṃṭe,If there is
పురోగరి,புரோகரி,முன்னேற்றம்,purogari,Progress
లేదని,லேதநி,இல்லை,ledani,There is no
అందరూ,அம்தரூ,எல்லோரும்,aṃdarū,Everyone
గ్రహిస్తున్నారు,க்ரஹிஸ்துந்நாரு,உணர்ந்துகொள்வது,grahistunnāru,Realizing
ఈ,ஈ,இது,ī,This
రోజు,ரோஜு,நாள்,roju,The day
అన్ని,அந்நி,அனைத்தும்,anni,All
రంగాలలో,ரம்காலலோ,வயல்களில்,raṃgālalo,In the fields
స్తీలు,ஸ்தீலு,இன்னும்,stīlu,Still
ముందుంటున్నారు,மும்தும்டுந்நாரு,முந்தைய,muṃduṃṭunnāru,Previous
ఐాధ్యతా,ஐாத்யதா,ஐடாதா,aiādhyatā,Iidatha
రహితంగా,ரஹிதம்கா,சுதந்திரமாக,rahitaṃgā,Freely
ప్రవర్తించే,ப்ரவர்திம்சே,நடந்து கொள்ளுங்கள்,pravartiṃce,Behave
భర్తల,பர்தல,கணவர்கள்,bhartala,Husbands
కారణంగా,காரணம்கா,காரணமாக,kāraṇaṃgā,Due to
సంసారాలు,ஸம்ஸாராலு,எதுவாக இருந்தாலும்,saṃsārālu,Whatever
నాశనం,நாஶநம்,அழிக்கவும்,nāśanaṃ,Destroy
కాకుండా,காகும்டா,விட,kākuṃḍā,Rather than
రక్షించుకోవడం,ரக்ஷிம்சுகோவடம்,பாதுகாக்க,rakṣiṃcukovaḍaṃ,To protect
దగ్గర్నుండి,தக்கர்நும்டி,மூடு,daggarnuṃḍi,From close
న్నత,ந்நத,.......,nnata,.......
స్థాయిలో,ஸ்தாயிலோ,மட்டத்தில்,sthāyilo,At the level
"ఉద్యోగాలు,","உத்யோகாலு,","வேலைகள்,","udyogālu,","Jobs,"
జాతీయ,ஜாதீய,தேசிய,jātīya,National
అంతర్జాతీయ,அம்தர்ஜாதீய,சர்வதேச,aṃtarjātīya,International
స్థాయిల్లో,ஸ்தாயில்லோ,நிலைகளில்,sthāyillo,At levels
కీలక,கீலக,விசை,kīlaka,Key
"పాత్రలు,","பாத்ரலு,","பாத்திரங்கள்,","pātralu,","Roles,"
అంతరిక్షంలో,அம்தரிக்ஷம்லோ,விண்வெளியில்,aṃtarikṣaṃlo,In space
ప్రయోగాలు,ப்ரயோகாலு,சோதனைகள்,prayogālu,Experiments
నిర్వహించడం,நிர்வஹிம்சடம்,பராமரித்தல்,nirvahiṃcaḍaṃ,Maintaining
వరకూ,வரகூ,வரை,varakū,Up to
ఇందుకలదందులేదని,இம்துகலதம்துலேதநி,அப்படி எதுவும் இல்லை,iṃdukaladaṃduledani,There is no such thing
సందేహము,ஸம்தேஹமு,சந்தேகம்,saṃdehamu,Doubt
వలదు,வலது,இல்லை,valadu,Does not
అన్నట్లు,அந்நட்லு,அதாவது,annaṭlu,That is
స్తీ,ஸ்தீ,ஸ்டை,stī,Sti
శక్తి,ஶக்தி,சக்தி,śakti,Power
ప్రాధాన్యత,ப்ராதாந்யத,முன்னுரிமை,prādhānyata,Priority
కనబడుతూనే,கநபடுதூநே,அதிகப்படியான,kanabaḍutūne,Excessively
వుంది:,வும்தி:,உள்ளது:,vuṃdi:,Has been:
అటువంటి,அடுவம்டி,அத்தகைய,aṭuvaṃṭi,Such
శక్తి,ஶக்தி,சக்தி,śakti,Power
స్వరూపిణి,ஸ்வரூபிணி,உருவகம்,svarūpiṇi,The embodiment
జన్మించి,ஜந்மிம்சி,பிறப்பு,janmiṃci,Born
అమ్మాయిగా,அம்மாயிகா,ஒரு பெண்ணாக,ammāyigā,As a girl
ఎదిగి;,எதிகி;,வளர்ந்து வருகிறது;,èdigi;,Growing up;
"అమ్మగామారి,","அம்மகாமாரி,","விற்பனையாளர்,","ammagāmāri,","The salesman,"
అమ్మమ్మ,அம்மம்ம,பாட்டி,ammamma,Grandmother
(మామ్మ),(மாம்ம),(மம்மா),(māmma),(Mamma)
అయ్యేవరకూ,அய்யேவரகூ,அது மாறும் வரை,ayyevarakū,Until it becomes
వివిధ,விவித,வேறு,vividha,Different
దశలలో,தஶலலோ,படிகளில்,daśalalo,In steps
అవసరమయ్యే,அவஸரமய்யே,தேவை,avasaramayye,Needed
"పోషణ,","போஷண,","ஊட்டச்சத்து,","poṣaṇa,","Nutrition,"
రక్షణ;,ரக்ஷண;,பாதுகாப்பு;,rakṣaṇa;,Protection;
సమస్యలు,ஸமஸ்யலு,சிக்கல்கள்,samasyalu,Problems
పిషార్రాలు;,பிஷார்ராலு;,பிசார்;,piṣārrālu;,Pisars;
మానసిక,மாநஸிக,மன,mānasika,Mental
పరిణతి,பரிணதி,முதிர்ந்த,pariṇati,Mature
కలగడానికి,கலகடாநிகி,கனவு காண,kalagaḍāniki,To dream
ఒత్తిడి,ஒத்திடி,மன அழுத்தம்,òttiḍi,Stress
తగ్గించుకోవడానికి,தக்கிம்சுகோவடாநிகி,குறைக்க,taggiṃcukovaḍāniki,To reduce
సూచనలతో,ஸூசநலதோ,வழிமுறைகளுடன்,sūcanalato,With instructions
6,6,.,6,6
ఆడవారికి,ஆடவாரிகி,பெண்களுக்கு,āḍavāriki,For females
అన్నివేళలా,அந்நிவேளலா,எப்போதும்,anniveḻalā,Always
ఆప్తమిత్రురాలి,ஆப்தமித்ருராலி,அப்தாமித்ரா,āptamitrurāli,Aptamitra
వుండే,வும்டே,இருக்க வேண்டும்,vuṃḍe,To be
పుస్తకాన్ని,புஸ்தகாந்நி,புத்தகம்,pustakānni,The book
అందించాలనే,அம்திம்சாலநே,வழங்க,aṃdiṃcālane,To provide
"డా""గాయత్రీదేవి","டா""காயத்ரீதேவி",டா “காயத்ரி தேவி,"ḍā""gāyatrīdevi",Da “Gayatri Devi
గారి,காரி,கேரி,gāri,Gary
ప్రయత్న,ப்ரயத்ந,முயற்சித்தது,prayatna,Attempted
ఫలితమే,பலிதமே,இதன் விளைவாக,phalitame,The result is
ఆరోగ్య,ஆரோக்ய,ஆரோக்கியம்,ārogya,Health
ఆరోగ్య,ஆரோக்ய,ஆரோக்கியம்,ārogya,Health
:,:,:,:,:
