Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
పరమాత్ముడు,பரமாத்முடு,உச்சநிலை,paramātmuḍu,The Supreme Being
పురుషులిద్దరినీ,புருஷுலித்தரிநீ,இருவரும்,puruṣuliddarinī,Both men
సమానంగా,ஸமாநம்கா,சமமாக,samānaṃgā,Equally
సృష్టిస్తూ,ஸ்ரு'ஷ்டிஸ்தூ,உருவாக்குதல்,sṛṣṭistū,Creating
పవిత్రమయిన,பவித்ரமயிந,புனிதமான,pavitramayina,The sacred
సృష్టి,ஸ்ரு'ஷ்டி,உருவாக்கம்,sṛṣṭi,Creation
కార్యక్రమాన్ని,கார்யக்ரமாந்நி,திட்டம்,kāryakramānni,Program
నిర్వహించే,நிர்வஹிம்சே,நிர்வகிக்கப்பட்டது,nirvahiṃce,Managed
శక్తిని,ஶக்திநி,சக்தி,śaktini,Power
స్తీలో,ஸ்தீலோ,ஸ்டீயில்,stīlo,In the stie
నిక్షిప్తం,நிக்ஷிப்தம்,சேமிப்பு,nikṣiptaṃ,Storage
చేశాడు,சேஶாடு,அதைச் செய்தது,ceśāḍu,Did it
మగవాడు,மகவாடு,ஆண்,magavāḍu,Male
స్వార్ధంతో,ஸ்வார்தம்தோ,சுயநலத்துடன்,svārdhaṃto,With selfishness
స్ర్తీలోని,ஸ்ர்தீலோநி,Stti இல்,srtīloni,In the stti
అన్ని,அந்நி,அனைத்தும்,anni,All
శక్తులనూ,ஶக்துலநூ,படைகள்,śaktulanū,The forces
అణగగొట్టి,அணககொட்டி,,aṇagagòṭṭi,
ఆమెను,ஆமெநு,,āmènu,
పిల్లల్ని,பில்லல்நி,,pillalni,
కనే,கநே,,kane,
"యంఠ్రంలా,","யம்ட்ரம்லா,",,"yaṃṭhraṃlā,",
జీరం,ஜீரம்,,jīraṃ,
లేని,லேநி,,leni,
పనిమనిషిలా;,பநிமநிஷிலா;,,panimaniṣilā;,
తన,தந,,tana,
'అవసరానికి','அவஸராநிகி',,'avasarāniki',
సృష్టించబడిన,ஸ்ரு'ஷ்டிம்சபடிந,,sṛṣṭiṃcabaḍina,
ఒక,ஒக,,òka,
వస్తువులా,வஸ்துவுலா,,vastuvulā,
మలచుకున్నాడు,மலசுகுந்நாடு,,malacukunnāḍu,
కాలం,காலம்,,kālaṃ,
మారింది,மாரிம்தி,,māriṃdi,
స్ర్తీ,ஸ்ர்தீ,,srtī,
శక్తికి,ஶக்திகி,,śaktiki,
గుర్తింపు,குர்திம்பு,,gurtiṃpu,
వచ్చే,வச்சே,,vacce,
రోజులు,ரோஜுலு,,rojulu,
వచ్చాయి:,வச்சாயி:,,vaccāyi:,
అర్ధ,அர்த,,ardha,
భాగం,பாகம்,,bhāgaṃ,
అణగిపోయి,அணகிபோயி,,aṇagipoyi,
వుంటే,வும்டே,,vuṃṭe,
పురోగరి,புரோகரி,,purogari,
లేదని,லேதநி,,ledani,
అందరూ,அம்தரூ,,aṃdarū,
గ్రహిస్తున్నారు,க்ரஹிஸ்துந்நாரு,,grahistunnāru,
ఈ,ஈ,,ī,
రోజు,ரோஜு,,roju,
అన్ని,அந்நி,,anni,
రంగాలలో,ரம்காலலோ,,raṃgālalo,
స్తీలు,ஸ்தீலு,,stīlu,
ముందుంటున్నారు,மும்தும்டுந்நாரு,,muṃduṃṭunnāru,
ఐాధ్యతా,ஐாத்யதா,,aiādhyatā,
రహితంగా,ரஹிதம்கா,,rahitaṃgā,
ప్రవర్తించే,ப்ரவர்திம்சே,,pravartiṃce,
భర్తల,பர்தல,,bhartala,
కారణంగా,காரணம்கா,,kāraṇaṃgā,
సంసారాలు,ஸம்ஸாராலு,,saṃsārālu,
నాశనం,நாஶநம்,,nāśanaṃ,
కాకుండా,காகும்டா,,kākuṃḍā,
రక్షించుకోవడం,ரக்ஷிம்சுகோவடம்,,rakṣiṃcukovaḍaṃ,
దగ్గర్నుండి,தக்கர்நும்டி,,daggarnuṃḍi,
న్నత,ந்நத,,nnata,
స్థాయిలో,ஸ்தாயிலோ,,sthāyilo,
"ఉద్యోగాలు,","உத்யோகாலு,",,"udyogālu,",
జాతీయ,ஜாதீய,,jātīya,
అంతర్జాతీయ,அம்தர்ஜாதீய,,aṃtarjātīya,
స్థాయిల్లో,ஸ்தாயில்லோ,,sthāyillo,
కీలక,கீலக,,kīlaka,
"పాత్రలు,","பாத்ரலு,",,"pātralu,",
అంతరిక్షంలో,அம்தரிக்ஷம்லோ,,aṃtarikṣaṃlo,
ప్రయోగాలు,ப்ரயோகாலு,,prayogālu,
నిర్వహించడం,நிர்வஹிம்சடம்,,nirvahiṃcaḍaṃ,
వరకూ,வரகூ,,varakū,
ఇందుకలదందులేదని,இம்துகலதம்துலேதநி,,iṃdukaladaṃduledani,
సందేహము,ஸம்தேஹமு,,saṃdehamu,
వలదు,வலது,,valadu,
అన్నట్లు,அந்நட்லு,,annaṭlu,
స్తీ,ஸ்தீ,,stī,
శక్తి,ஶக்தி,,śakti,
ప్రాధాన్యత,ப்ராதாந்யத,,prādhānyata,
కనబడుతూనే,கநபடுதூநே,,kanabaḍutūne,
వుంది:,வும்தி:,,vuṃdi:,
అటువంటి,அடுவம்டி,,aṭuvaṃṭi,
శక్తి,ஶக்தி,,śakti,
స్వరూపిణి,ஸ்வரூபிணி,,svarūpiṇi,
జన్మించి,ஜந்மிம்சி,,janmiṃci,
అమ్మాయిగా,அம்மாயிகா,,ammāyigā,
ఎదిగి;,எதிகி;,,èdigi;,
"అమ్మగామారి,","அம்மகாமாரி,",,"ammagāmāri,",
అమ్మమ్మ,அம்மம்ம,,ammamma,
(మామ్మ),(மாம்ம),,(māmma),
అయ్యేవరకూ,அய்யேவரகூ,,ayyevarakū,
వివిధ,விவித,,vividha,
దశలలో,தஶலலோ,,daśalalo,
అవసరమయ్యే,அவஸரமய்யே,,avasaramayye,
"పోషణ,","போஷண,",,"poṣaṇa,",
రక్షణ;,ரக்ஷண;,,rakṣaṇa;,
సమస్యలు,ஸமஸ்யலு,,samasyalu,
పిషార్రాలు;,பிஷார்ராலு;,,piṣārrālu;,
మానసిక,மாநஸிக,,mānasika,
పరిణతి,பரிணதி,,pariṇati,
కలగడానికి,கலகடாநிகி,,kalagaḍāniki,
ఒత్తిడి,ஒத்திடி,,òttiḍi,
తగ్గించుకోవడానికి,தக்கிம்சுகோவடாநிகி,,taggiṃcukovaḍāniki,
సూచనలతో,ஸூசநலதோ,,sūcanalato,
6,6,,6,
ఆడవారికి,ஆடவாரிகி,,āḍavāriki,
అన్నివేళలా,அந்நிவேளலா,,anniveḻalā,
ఆప్తమిత్రురాలి,ஆப்தமித்ருராலி,,āptamitrurāli,
వుండే,வும்டே,,vuṃḍe,
పుస్తకాన్ని,புஸ்தகாந்நி,,pustakānni,
అందించాలనే,அம்திம்சாலநே,,aṃdiṃcālane,
"డా""గాయత్రీదేవి","டா""காயத்ரீதேவி",,"ḍā""gāyatrīdevi",
గారి,காரி,,gāri,
ప్రయత్న,ப்ரயத்ந,,prayatna,
ఫలితమే,பலிதமே,,phalitame,
ఆరోగ్య,ஆரோக்ய,,ārogya,
ఆరోగ్య,ஆரோக்ய,,ārogya,
:,:,,:,
