Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
हॉल,ஹॉல,ஹால்,haॉla,hall
मॉल,மॉல,மால்,maॉla,mall
शॉल,ஶॉல,ஷால்,śaॉla,shawl
चौक,சௌக,சாக்,cauka,square
कॉपी,கॉபீ,காபி,kaॉpī,copy
डॉक्टर,டॉக்டர,டாக்டர்,ḍaॉkṭara,doctor
डॉल,டॉல,டால்,ḍaॉla,doll
बॉल,பॉல,பால்,baॉla,ball
जरा,ஜரா,ஜாரா,jarā,little
सज़ा,ஸஃஜா,சஜ஼ா,sazā,punishment
तेज़,தேஃஜ,தேஜ஼,teza,fast
मेज़,மேஃஜ,மேஜ஼,meza,maze
ज़ोर,ஃஜோர,ஜோர்,zora,force
रोज़,ரோஃஜ,ரோஜ஼,roza,daily
चीज़,சீஃஜ,சீஸ்,cīza,thing
प्याज़,ப்யாஃஜ,பியாஸ்,pyāza,onion
फ़न,ஃபந,ஃபன்,fana,fun
माफ़,மாஃப,மாஃப்,māfa,forgive
साफ़,ஸாஃப,சாஃப்,sāfa,clean
काँफ़ी,காँஃபீ,காஃபி,kā~fī,coffee
बरफ़,பரஃப,பார்ஃப்,barafa,snow
सफ़ेद,ஸஃபேத,சஃபெட்,safeda,white
लिफ़ाफ़ा,லிஃபாஃபா,லிஃபாஃ,lifāfā,envelope
मफ़लर,மஃபலர,மஃப்லர்,mafalara,muffler
अध्यापन,அத்யாபந,அத்யாபனம்,adhyāpana,teaching
निर्देश,நிர்தேஶ,நிர்தேஷம்,nirdeśa,instructions
ज़-फ़,ஃஜ-ஃப,ஜே-ஃப்,za-fa,z-f
विदेशी,விதேஶீ,விதேசி,videśī,foreign
"(अरबी,","(அரபீ,",(அரபி,"(arabī,",(Arabic
फ़ारसी),ஃபாரஸீ),பெர்ஷியன்),fārasī),Persian)
और,ஔர,மற்றும்,aura,and
ऑं,ऑம்,ஆஃ,ऑṃ,ohm
(अंग्रेजी),(அம்க்ரேஜீ),(ஆங்கிலம்),(aṃgrejī),(English)
ध्वनियों,த்வநியோம்,உச்சரிப்புகள்,dhvaniyoṃ,signs
के,கே,க்கு,ke,are
चिह्न,சிஹ்ந,குறியாக்கங்கள்,cihna,|
हैं,ஹைம்,உள்ளன,haiṃ,these
|,|,|,|,'consonant sounds'
इन्हें,இந்ஹேம்,இவைகள்,inheṃ,also
'अगत,'அகத,'அகத் உச்சரிப்புகள்','agata,said
ध्वनियां',த்வநியாம்',என்றும் அழைக்கப்படுகின்றன (உரை கட்டுப்பட்டது),dhvaniyāṃ',(text
भी,பீ,,bhī,cut
कहा,கஹா,,kahā,gone)
(टेक्स्ट,(டேக்ஸ்ட,,(ṭeksṭa,
कट,கட,,kaṭa,
गया,கயா,,gayā,
है),ஹை),,hai),
