Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
श्रौ,ஶ்ரௌ,ஶ்ரௌ,śrau,Shrau
की,கீ,கீ,kī,Ki
मात्रा,மாத்ரா,அளவு,mātrā,Matra
वाले,வாலே,வார்த்தை,vāle,Vale
शब्द,ஶப்த,1),śabda,Shabd
1),1),மற்றும்,1),And/Else
और,ஔர,2),aura,Jaun
-,-,பார்லி,-,Barley
And/Else,And/Else,3),And/Else,Nauka
2),2),படகு,2),Boat
जौं,ஜௌம்,4),jauṃ,Kaua
-,-,காகம்,-,Crow
Barley,Barley,5),Barley,Mauka
3),3),வாய்ப்பு,3),Chance
नौका,நௌகா,6),naukā,Daudna
-,-,ஓட,-,Run
Boat,Boat,7),Boat,Aurat
4),4),பெண்,4),Woman
कौआ,கௌஆ,,kauā,
-,-,,-,
Crow,Crow,,Crow,
5),5),,5),
मौका,மௌகா,,maukā,
-,-,,-,
chance,chance,,chance,
6),6),,6),
दौड़ना,தௌஃட²நா,,daur̤anā,
-,-,,-,
Run,Run,,Run,
7),7),,7),
औरत,ஔரத,,aurata,
-,-,,-,
Woman,Woman,,Woman,
