Input Word,Target Transliteration,Tamil Meaning
పరమాత్ముడు,பரமாத்முடு,உச்சநிலை
పురుషులిద్దరినీ,புருஷுலித்தரிநீ,இருவரும்
సమానంగా,ஸமாநம்கா,சமமாக
సృష్టిస్తూ,ஸ்ரு'ஷ்டிஸ்தூ,உருவாக்குதல்
పవిత్రమయిన,பவித்ரமயிந,புனிதமான
సృష్టి,ஸ்ரு'ஷ்டி,உருவாக்கம்
కార్యక్రమాన్ని,கார்யக்ரமாந்நி,திட்டம்
నిర్వహించే,நிர்வஹிம்சே,நிர்வகிக்கப்பட்டது
శక్తిని,ஶக்திநி,சக்தி
స్తీలో,ஸ்தீலோ,ஸ்டீயில்
నిక్షిప్తం,நிக்ஷிப்தம்,சேமிப்பு
చేశాడు,சேஶாடு,அதைச் செய்தது
మగవాడు,மகவாடு,ஆண்
స్వార్ధంతో,ஸ்வார்தம்தோ,சுயநலத்துடன்
స్ర్తీలోని,ஸ்ர்தீலோநி,Stti இல்
అన్ని,அந்நி,எல்லாம்
శక్తులనూ,ஶக்துலநூ,படைகள்
అణగగొట్టి,அணககொட்டி,ஒடுக்கப்பட்ட
ఆమెను,ஆமெநு,அவள்
పిల్లల్ని,பில்லல்நி,குழந்தைகள்
కనే,கநே,கேன்
"యంఠ్రంలా,","யம்ட்ரம்லா,","மெத்தையின் முகத்தில் உள்ளன,"
జీరం,ஜீரம்,ஜீராம்
లేని,லேநி,இல்லாமல்
పనిమనిషిలా;,பநிமநிஷிலா;,ஒரு பணிப்பெண்;
తన,தந,அவனுடைய
'అవసరానికి','அவஸராநிகி','தேவைக்கு'
సృష్టించబడిన,ஸ்ரு'ஷ்டிம்சபடிந,உருவாக்கப்பட்டது
ఒక,ஒக,A
వస్తువులా,வஸ்துவுலா,பொருள் போல
మలచుకున్నాడు,மலசுகுந்நாடு,பிட்
కాలం,காலம்,காலம்
మారింది,மாரிம்தி,மாறிவிட்டது
స్ర్తీ,ஸ்ர்தீ,ஸ்டுர்தி
శక్తికి,ஶக்திகி,அதிகாரத்திற்கு
గుర్తింపు,குர்திம்பு,அங்கீகாரம்
వచ్చే,வச்சே,வாருங்கள்
రోజులు,ரோஜுலு,நாட்கள்
వచ్చాయి:,வச்சாயி:,வந்துள்ளது:
అర్ధ,அர்த,பாதி
భాగం,பாகம்,பகுதி
అణగిపోయి,அணகிபோயி,மனச்சோர்வடைய வேண்டும்
వుంటే,வும்டே,இருந்தால்
