Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
11:08,11:08,1 1 1 1 1 1 1 1 1,11:08,௧ ௧ ௧ ௧ ௧ ௧ ௧ ௧
PM|2.9KB/s,PM|2.9KB/s,തിരികെ |,PM|2.9KB/s,Back |
K,K,കെ,K,K
Vo,Vo,അസാലോ,Vo,Wo
WiFi,WiFi,വീഡിയോടേപ്പ്,WiFi,Videotape
45,45,45,45,௪௫
5:34,5:34,5:34,5:34,௫:௩௪
பெருத்திகளையும்ன்ர்களையம்,ഭെരുധ്ധിഘളൈയുംன്ര്ഘളൈയം,മെലോഡികുലർ പ്ലാന്റ്,bhèrudhdhighaḻaiyuṃṉrghaḻaiyaṃ,Melodicular plant
6:08,6:08,6:08,6:08,௬:௦௮
பிருப்படுத்திருந்து,ഭിരുഭ്ഭഢുധ്ധിരുന്ധു,തിളങ്ങുന്ന,bhirubhbhaḍhudhdhirundhu,Bright
Replies,Replies,വാഹനങ്ങുക,Replies,Roblis
ரு,രു,Ru,ru,Ru
நிலவில்லாத,നിലവില്ലാധ,വ്യക്തമല്ലാത്തത്,nilavillādha,Unmistakable
அந்த,അന്ധ,അവര്,andha,Those
வானம்,വാனം,ആകാശം,vāṉaṃ,Sky
போல,ഭോല,കുഴപ്പം,bhola,Alright
நாங்க,നാങ്ഘ,ഞങ്ങള്,nāṅgha,We
வாடுகிறோம்,വാഢുഘിറോം,കള,vāḍhughiṟoṃ,Weed
"நாங்களப்பா,","നാങ്ഘളഭ്ഭാ,","നംഗളപ്പ,","nāṅghaḻabhbhā,","Nangalappa,"
நீநிலவைபோல,നീനിലവൈഭോല,ഹൈഡ്രോളിക് സാദൃശ്യം,nīnilavaibhola,Hydraulic likeness
வருவாயப்பா,വരുവായഭ്ഭാ,വരുമാനം,varuvāyabhbhā,Income
ன,ன,നാമനിർദ്ദേശം ചെയ്യപ്പെട്ടു,ṉa,Nominated
அருளை,അരുളൈ,ആശീര്വ്വാദം,aruḻai,Blessing
தருவாயப்பாக,ധരുവായഭ്ഭാഘ,സമ്മാനം,dharuvāyabhbhāgha,Gift
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
சுவாமி,ഝുവാമി,സ്വാമി,jhuvāmi,Swami
"ஐயப்பா,","ഐയഭ്ഭാ,","IYAPA,","aiyabhbhā,","Iyappa,"
என்,എன്,എന്റെ,èṉ,My
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
சுவாமி,ഝുവാമി,സ്വാമി,jhuvāmi,Swami
"ஐயப்பா,","ഐയഭ്ഭാ,","IYAPA,","aiyabhbhā,","Iyappa,"
ஓடக்கரைஃப,ഓഢഘ്ഘരൈஃப,കരുശേഷമുള്ള,oḍhaghgharaifa,Ruplic
பாசம்,ഭാഝം,സ്നേഹം,bhājhaṃ,Affection
நேசம்,നേഝം,സ്നേഹിക്കുക,nejhaṃ,Love
அத,അധ,എവിടെ,adha,Where
காட்ட,ഘാഢ്ഢ,പദര്ശനം,ghāḍhḍha,Display
ங்க,ങ്ഘ,:,ṅgha,:
யாருமில்லஅ,യാരുമില്ലഅ,ആരുംതന്നെയില്ല,yārumillaa,Nobody
நான்,നാன്,ഞാന്,nāṉ,I
பாவபட்ட,ഭാവഭഢ്ഢ,പാപകരമായ,bhāvabhaḍhḍha,Sinful
ஜென்மம்தானையா,ജെன്മംധാனൈയാ,ഷാംപെയിൻ,jèṉmaṃdhāṉaiyā,Champagne
பக்கத்துணை,ഭഘ്ഘധ്ധുണൈ,ലാറ്ററൽ ട്രൈബോട്ടറി,bhaghghadhdhuṇai,Lateral tribotry
நீதானையா,നീധാனൈയാ,നിങ്ങൾ,nīdhāṉaiyā,You
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
சுவாமி,ഝുവാമി,സ്വാമി,jhuvāmi,Swami
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
என்,എன്,എന്റെ,èṉ,My
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
சுவாமி,ഝുവാമി,സ്വാമി,jhuvāmi,Swami
"ஐயப்பா,","ഐയഭ്ഭാ,","IYAPA,","aiyabhbhā,","Iyappa,"
ஐயப்பா,ഐയഭ്ഭാ,ജീവാമൃതം,aiyabhbhā,Sap
சுவாமி,ഝുവാമി,സ്വാമി,jhuvāmi,Swami
"ஐயப்பா,","ഐയഭ്ഭാ,","IYAPA,","aiyabhbhā,","Iyappa,"
கவாமியே,ഘവാമിയേ,കാം,ghavāmiye,Cam
காணம்,ഘാണം,ഭാഗം,ghāṇaṃ,Luck
பைப்பா,ഭൈഭ്ഭാ,ബൈപ,bhaibhbhā,Bypa
டிகஜன்,ഢിഘജன്,ചൂട്,ḍhighajaṉ,Degree
Add,Add,ഉന്സം,Add,Hine
a,a,ഉത്തരം.,a,A.
reply...,reply...,റിപ്ലി ...,reply...,Ripley ...
