Input Word,Malayalam Transliteration,Malayalam Meaning,English Transliteration,English Meaning
தமிழ்,ധമിഴ്,തമിഴ്,dhamil̤,Tamil
மொழி,മൊഴി,ഭാഷ,mòl̤i,Language
PDF,PDF,പിഡി.,PDF,Pd.
ஆவணங்களை,ആവണങ്ഘളൈ,രേഖകൾ,āvaṇaṅghaḻai,Documents
ஆன்லைனில்,ആன്ലൈனില്,ഓൺലൈൻ,āṉlaiṉil,Online
பல்வேறு,ഭല്വേറു,വൈവിധം,bhalveṟu,Variety
தளங்களில்,ധളങ്ഘളില്,സൈറ്റുകളിൽ,dhaḻaṅghaḻil,On sites
காணலாம்,ഘാണലാം,കണ്ടെത്താനാകും,ghāṇalāṃ,Can be found
அவற்றில்,അവറ്റില്,അതിൽ,avaṟṟil,In which
சில,ഝില,കുറെ,jhila,Some
முக்கிய,മുഘ്ഘിയ,പഭാരമായ,mughghiya,Prime
தளங்கள்,ധളങ്ഘള്,അടിത്തറകൾ,dhaḻaṅghaḻ,Bases
Tamilcube,Tamilcube,തമിഴ്,Tamilcube,Tamil
"Shop,","Shop,","കട,","Shop,","Shop,"
"Scribd,","Scribd,","യാത്രാദായം,","Scribd,","Sacrift,"
மற்றும்,മറ്റും,കൂടെ,maṟṟuṃ,And
TNTBESC.,TNTBESC.,തുണ്ട്ബാസ്കിൽ.,TNTBESC.,Tundbask.
