Input Word,Target Transliteration,Malayalam Meaning
పరమాత్ముడు,പരമാത്മുഡു,പരമമായത്
పురుషులిద్దరినీ,പുരുഷുലിദ്ദരിനീ,രണ്ടും
సమానంగా,സമാനംഗാ,ഒരുപോലെ
సృష్టిస్తూ,സൃഷ്ടിസ്തൂ,സൃഷ്ടിക്കുന്നു
పవిత్రమయిన,പവിത്രമയിന,പവിത്രമായത്
సృష్టి,സൃഷ്ടി,സൃഷ്ടി
కార్యక్రమాన్ని,കാര്യക്രമാന്നി,കാരപരിപാടി
నిర్వహించే,നിര്വഹിംചേ,ചുറ്റിനടന്നത്
శక్తిని,ശക്തിനി,ശക്തി
స్తీలో,സ്തീലോ,സ്റ്റൈലിൽ
నిక్షిప్తం,നിക്ഷിപ്തം,ശേഖരണം
చేశాడు,ചേശാഡു,അതു ചെയ്തു
మగవాడు,മഗവാഡു,പുരുഷന്
స్వార్ధంతో,സ്വാര്ധംതോ,സ്വാർത്ഥതയോടെ
స్ర్తీలోని,സ്ര്തീലോനി,Stti- ൽ
అన్ని,അന്നി,എല്ലാം
శక్తులనూ,ശക്തുലനൂ,സേന
అణగగొట్టి,അണഗഗൊട്ടി,അടിച്ചമർത്തപ്പെട്ടു
ఆమెను,ആമെനു,അവള്
పిల్లల్ని,പില്ലല്നി,കുട്ടികൾ
కనే,കനേ,കെയ്
"యంఠ్రంలా,","യംഠ്രംലാ,","കട്ടിൽ മുഖത്ത് ഉണ്ട്,"
జీరం,ജീരം,ജീരാം
లేని,ലേനി,കൂടാതെ
పనిమనిషిలా;,പനിമനിഷിലാ;,ഒരു വേലക്കാരി;
తన,തന,അവന്റെ
'అవసరానికి','അവസരാനികി','ആവശ്യത്തിനായി'
సృష్టించబడిన,സൃഷ്ടിംചബഡിന,സൃഷ്ടിച്ചു
ఒక,ഒക,ഒരു
వస్తువులా,വസ്തുവുലാ,ഒബ്ജക്റ്റ് പോലെ
మలచుకున్నాడు,മലചുകുന്നാഡു,പിടിച്ചു
కాలం,കാലം,കാലഘട്ടം
మారింది,മാരിംദി,മാറി
స్ర్తీ,സ്ര്തീ,സ്റ്റർട്ടി
శక్తికి,ശക്തികി,അധികാരത്തിലേക്ക്
గుర్తింపు,ഗുര്തിംപു,തിരിച്ചറിയല്
వచ్చే,വച്ചേ,വരിക
రోజులు,രോജുലു,ദിവസങ്ങൾ
