Input Word,Tamil Transliteration,Tamil Meaning,English Transliteration,English Meaning
४ठॅ,௪டॅ,.,4ṭhaॅ,४
ग@,க@,G@,ga@,G@
झकूथ४ू,சகூத௪ூ,ஜாகூத் 4,jhakūtha4ū,Jhakuth 4
"ठटँआ""॰","டடँஆ""॰","சுட்டா ""","ṭhaṭa~ā""॰","Chuta ""॰"
ह,ஹ,ஏய்,ha,Hey
झीथँँु,சீதँँு,ஜித்னு,jhītha~~u,Jhithnu
१8,௧8,18,18,18
ड॰ठौॅ२,ட॰டௌॅ௨,த்தோ 2,ḍa॰ṭhauॅ2,Dhthou 2
२४,௨௪,24,24,24
४%०5,௪%௦5,4%05,4%05,4%05
३४२,௩௪௨,372,342,372
&०,&௦,& 0,&0,& 0
१४४०,௧௪௪௦,140,1440,140
5ठ.,5ட.,5,5ṭha.,5
टड़ऋ%,டஃட²ரு'%,Tadr%,ṭar̤aṛ%,Tadr%
लैफ४०६९,லைப௪௦௬௯,LAF 4079,laipha4069,Laf 4079
&७९,&௭௯,& 79,&79,& 79
छ१४,ச௧௪,ஆறு 14,cha14,Six 14
ठ५छँग,ட௫சँக,ஜி 5,ṭha5cha~ga,G5
७फड़ङ,௭பஃட²ங,७ phad,7phar̤aṅa,७ Phad
8,8,8,8,8
७ऊू,௭ஊூ,Ou ou,7ūū,७ Ou
*फ़य,*ஃபய,*பே,*faya,*Fay
डई,டஈ,Di,ḍaī,Di
"कण०ट""","கண௦ட""","துகள் 0 ""","kaṇa0ṭa""","Particle 0 """
९७०,௯௭௦,960,970,960
छ१,ச௧,ஆறு 1,cha1,Six 1
"४०००१ू८"",","௪௦௦௦௧ூ௮"",",400001.,"40001ū8"",",400001.
छॅ,சॅ,ஆறு,chaॅ,Six
७०ूठ%४,௭௦ூட%௪,70%4,70ūṭha%4,70%4
@झ०२१८>,@ச௦௨௧௮>,@JHA 0214>,@jha0218>,@Jha 0214>
&$,&$,அருவடிக்கு,&$,","
>२ट,>௨ட,> 2 டி,>2ṭa,> 2 t
ऑळआ>प८,ऑளஆ>ப௮,OA> பி.,ऑḻaā>pa8,Oa> P.
ड॰८०,ட॰௮௦,டி 80,ḍa॰80,D80
ॅ०६०६.,ॅ௦௬௦௬.,0707.,ॅ0606.,0707.
&,&,அருவடிக்கு,&,","
४४ब,௪௪ப,४४ b,44ba,४४ B
७ठ०ू,௭ட௦ூ,4 வது,7ṭha0ū,4th
ॅछ,ॅச,உத்தர்,ॅcha,Uttar
ठञक,டஞக,நிக்கல்,ṭhañaka,Nickel
>चफ़क.,>சஃபக.,> சாஃபக்.,>cafaka.,> Chafak.
७ठ,௭ட,.,7ṭha,७
६%॰,௬%॰,4%,6%॰,4%॰
७ळड़ह%म,௭ளஃட²ஹ%ம,4% இல்,7ḻar̤aha%ma,In 4%
२०्,௨௦்,20,20,20
@%७,@%௭,@%,@%7,@%७
छ८२,ச௮௨,ஜி 42,cha82,G 42
"७०२ॅ""","௭௦௨ॅ""",602,"702ॅ""",602
&8%,&8%,& 8%,&8%,& 8%
पॅ.,பॅ.,பி.,paॅ.,P.
&,&,அருவடிக்கு,&,","
६%,௬%,4%,6%,4%
७,௭,.,7,८
ठ०ड॰क,ட௦ட॰க,குளிர்,ṭha0ḍa॰ka,Cold
&ख,&க,& பி,&kha,& B
>०ठॅठ९२लपळ.,>௦டॅட௯௨லபள.,> 0 சாப் 2 மடியில்.,>0ṭhaॅṭha92lapaḻa.,> 0 Chop 2 Lap.
११५९छ॰,௧௧௫௯ச॰,1159,1159cha॰,1159
४१ण^॰,௪௧ண^॰,71 n^4,41ṇa^॰,71 N^4
@०,@௦,@0,@0,@0
०5,௦5,05,05,05
६८९,௬௮௯,79,689,79
ड॰ठकणत॰,ட॰டகணத॰,குடிப்பது 4,ḍa॰ṭhakaṇata॰,Drinking 4
"ै०ल॰""९","ை௦ல॰""௯","Qu ॰ ""","ai0la॰""9","Qu ॰ ""॥"
ल॰ठ२०,ல॰ட௨௦,LTH 20,la॰ṭha20,Lth 20
ड॰२०८॰,ட॰௨௦௮॰,டி 92079,ḍa॰208॰,D92079
ठड़०ऊड,டஃட²௦ஊட,சேவல் 0 ud,ṭhar̤a0ūḍa,Cock 0 Ud
८०,௮௦,60,80,60
6४७४०क,6௪௭௪௦க,640,64740ka,640
२॰,௨॰,29,2॰,29
ह॰ठ,ஹ॰ட,உள்ளது,ha॰ṭha,Hath
कषग%.,கஷக%.,சரியான%.,kaṣaga%.,Perfect%.
कछक,கசக,கச்,kachaka,Kachk
७०७२७क,௭௦௭௨௭க,60726,70727ka,60726
हर॰काठू,ஹர॰காடூ,ஹர்கத்து,hara॰kāṭhū,Harkathu
ड७ड,ட௭ட,D,ḍa7ḍa,D
े१टक,ே௧டக,1 டக்,e1ṭaka,1 tuck
७०७8ड०ण,௭௦௭8ட௦ண,6078 டி,7078ḍa0ṇa,6078D
@,@,அருவடிக்கு,@,","
",",",",அருவடிக்கு,",",","
शठ,ஶட,க்ரப்,śaṭha,Grub
8%ौ८०,8%ௌ௮௦,8%60,8%au80,8%60
>ठड॰,>டட॰,> குளிர் 4,>ṭhaḍa॰,> Cold 4
ढ०कड७क०टय४ू,ட௦கட௭க௦டய௪ூ,டி. காட் 4 கே டி,ḍha0kaḍa7ka0ṭaya4ū,D. Kad 4 K T
ऑ०६४%छ,ऑ௦௬௪%ச,O 04%கிராம்,ऑ064%cha,O 04%g
>९८,>௯௮,> ९,>98,> ९ ८
छ७८>,ச௭௮>,ஆறு>,cha78>,Six>
&,&,அருவடிக்கு,&,","
४ड,௪ட,4 டி,4ḍa,4D
@॰ऋ%छ,@॰ரு'%ச,॰ ॰ r%g,@॰ṛ%cha,@॰ R%G
डॅू८टर्र्ई,டॅூ௮டர்ர்ஈ,டு,ḍaॅū8ṭarrī,Du
@०६.,@௦௬.,@04.,@06.,@04.
७८४०6,௭௮௪௦6,606,78406,606
४ड,௪ட,4 டி,4ḍa,4D
>ॅ%ूक,>ॅ%ூக,>%,>ॅ%ūka,>%
क१०ञ,க௧௦ஞ,ஒரு 10 ஜே,ka10ña,A 10 J
७>ू॰,௭>ூ॰,4> பி.ஆர்,7>ū॰,4> Pr
"भ६त,","ப௬த,","முடிந்தது,","bha6ta,","Finished,"
७ॅू%,௭ॅூ%,4%,7ॅū%,4%
",",",",அருவடிக்கு,",",","
७ॅू,௭ॅூ,.,7ॅū,८
(ै),(ை),(),(ai),()
७णठँ॰,௭ணடँ॰,७ நாதன் 4,7ṇaṭha~॰,७ Nathan 4
२२५,௨௨௫,225,225,225
ठ०७6९,ட௦௭6௯,0469,ṭha0769,0469
७ॅूठूट॰,௭ॅூடூட॰,4,7ॅūṭhūṭa॰,4
ध%,த%,அழுக்கு,dha%,Dirt
"6>0,","6>0,","6> 0,","6>0,","6> 0,"
ॅँथ,ॅँத,ஜென்டில்மேன்,ॅ~tha,Gentleman
"४हग१,","௪ஹக௧,","1 கட்டிப்பிடிக்க 1,","4haga1,","४ Hug 1,"
>१७,>௧௭,> 14,>17,> 14
४६क७,௪௬க௭,4,46ka7,4
डटॉट,டடॉட,டோட்டோட்,ḍaṭaॉṭa,Dutot
$,$,அருவடிக்கு,$,","
&थ८,&த௮,& வது,&tha8,& Th
ठ९०२ड,ட௯௦௨ட,62 டி,ṭha902ḍa,62D
ट१$,ட௧$,டி 1 $,ṭa1$,T1 $
ह5७छ६,ஹ5௭ச௬,எச் 57 கிராம் 4,ha57cha6,H 57 g 4
ख८०,க௮௦,பி 40,kha80,B40
$,$,அருவடிக்கு,$,","
७१,௭௧,41,71,41
58ट,58ட,58 டி,58ṭa,58 t
७४,௭௪,4,74,4
2,2,2,2,2
७०%,௭௦%,60%,70%,60%
२०ढ,௨௦ட,20 இரண்டு,20ḍha,20 two
४लड,௪லட,பையன்,4laḍa,४ lad
७०६०चग्ई,௭௦௬௦சக்ஈ,6080 சி.எச்.ஜி.ஐ.,7060cagī,6080 Chgi
टशािगॅ५६२,டஶாிகॅ௫௬௨,டாசிகோன் 582,ṭaśāigaॅ562,Tasigon 582
७॰ठ,௭॰ட,4 வது,7॰ṭha,4th
@८७,@௮௭,@4,@87,@4
४९७५,௪௯௭௫,795,4975,795
७8%($,௭8%($,48%($,78%($,48%($
&5%(&,&5%(&,& 5%(&,&5%(&,& 5%(&
